@id;@form;@lemma;@postag;@relation
1;ὁ;ὁ;l-s---mn-;ATR
2;δὲ;δέ;d--------;AuxY
3;ὧν;ὅς;p-p---ng-;OBJ
4;μὲν;μέν;d--------;AuxY
5;ὑπέσχετο;ὑπισχνέομαι;v3saim---;ATR
6;οὐδὲν;οὐδείς;p-s---na-;OBJ
7;ἔπραξεν;πράσσω;v3saia---;PRED_CO
8;,;punc;u--------;AuxX
9;οὕτως;οὕτως;d--------;ADV
10;δὲ;δέ;c--------;COORD
11;ἐνετεθύμητο;ἐνθυμέομαι;v3slie---;PRED_CO
12;ὡς;ὡς;c--------;AuxC
13;χρὴ;χράω;v3spia---;ADV
14;μικρὰν;μικρός;a-s---fa-;PNOM_CO
15;καὶ;καί;c--------;COORD
16;ἀσθενῆ;ἀσθενής;a-s---fa-;PNOM_CO
17;γενέσθαι;γίγνομαι;v--anm---;SBJ
18;τὴν;ὁ;l-s---fa-;ATR
19;πόλιν;πόλις;n-s---fa-;SBJ
20;,;punc;u--------;AuxX
21;ὥστε;ὥστε;c--------;AuxC
22;περὶ;περί;r--------;AuxP
23;ὧν;ὅς;p-p---ng-;ADV
24;οὐδεὶς;οὐδείς;p-s---mn-;SBJ
25;πώποτε;πώποτε;d--------;ADV
26;οὔ;οὐ;d--------;AuxZ
27;-τε;τε;d--------;AuxY
28;τῶν;ὁ;l-p---mg-;ATR
29;πολεμίων;πολέμιος;n-p---mg-;ATR
30;ἐμνήσθη;μιμνῄσκω;v3saip---;ATR_CO
31;οὔ;οὐ;d--------;AuxZ
32;-τε;τε;c--------;COORD
33;τῶν;ὁ;l-p---mg-;ATR
34;πολιτῶν;πολίτης;n-p---mg-;ATR
35;ἤλπισε;ἐλπίζω;v3saia---;ATR_CO
36;,;punc;u--------;AuxX
37;ταῦθʼ;οὗτος;p-s---na-;OBJ_AP
38;ὑμᾶς;σύ;p2p---ma-;OBJ
39;ἔπεισε;ἐφίζω;v3saia---;ADV
40;πρᾶξαι;πράσσω;v2samm---;OBJ
41;,;punc;u--------;AuxX
42;οὐχ;οὐ;d--------;AuxZ
43;ὑπὸ;ὑπό;r--------;AuxP
44;Λακεδαιμονίων;Λακεδαιμόνιος;n-p---mg-;OBJ
45;ἀναγκαζόμενος;ἀναγκάζω;v-sppemn-;ADV_CO
46;,;punc;u--------;AuxX
47;ἀλλʼ;ἀλλά;c--------;COORD
48;αὐτὸς;αὐτός;p-s---mn-;SBJ
49;ἐκείνοις;ἐκεῖνος;p-p---md-;OBJ
50;ἐπαγγελλόμενος;ἐπαγγέλλω;v-sapmmn-;ADV_CO
51;,;punc;u--------;APOS
52;τοῦ;ὁ;l-s---mg-;ATR
53;τε;τε;d--------;AuxY
54;Πειραιῶς;Πειραιεύς;n-s---mg-;ATR
55;τὰ;ὁ;l-p---na-;ATR
56;τείχη;τεῖχος;n-p---na-;OBJ
57;περιελεῖν;περιαιρέω;v--ana---;OBJ_AP_CO
58;καὶ;καί;c--------;COORD
59;τὴν;ὁ;l-s---fa-;ATR
60;ὑπάρχουσαν;ὑπάρχω;v-sppafa-;ATR
61;πολιτείαν;πολιτεία;n-s---fa-;OBJ
62;καταλῦσαι;καταλύω;v--ana---;OBJ_AP_CO
63;,;punc;u--------;AuxX
64;εὖ;εὖ;d--------;ADV
65;εἰδὼς;οἶδα;v-srpamn-;ADV
66;ὅτι;ὅτι;c--------;AuxC
67;,;punc;u--------;AuxX
68;εἰ;εἰ;c--------;AuxC
69;μὴ;μή;d--------;AuxZ
70;πασῶν;πᾶς;a-p---fg-;ATR
71;τῶν;ὁ;l-p---fg-;ATR
72;ἐλπίδων;ἐλπίς;n-p---fg-;OBJ
73;ἀποστερηθήσεσθε;ἀποστερέω;v2pfip---;ADV
74;,;punc;u--------;AuxX
75;ταχεῖαν;ταχύς;a-s---fa-;ATR
76;παρʼ;παρά;r--------;AuxP
77;αὐτοῦ;αὐτός;p-s---mg-;ATR
78;τὴν;ὁ;l-s---fa-;ATR
79;τιμωρίαν;τιμωρία;n-s---fa-;OBJ
80;κομιεῖσθε;κομίζω;v2pfim---;OBJ
81;.;punc;u--------;AuxK
82;οὐδεὶς;οὐδείς;p-s---mn-;SBJ
