@id;@form;@lemma;@postag;@relation
1;οὐ;οὐ;d--------;AuxZ
2;γὰρ;γάρ;d--------;AuxY
3;δὴ;δή;d--------;AuxZ
4;χάριν;χάρις;n-s---fa-;OBJ
5;γε;γε;d--------;AuxZ
6;ὑμῖν;σύ;p2p---md-;OBJ
7;ἀποδώσει;ἀποδίδωμι;v3sfia---;PRED
8;τῇ;ὁ;l-s---fd-;ATR
9;ψήφῳ;ψῆφος;n-s---fd-;OBJ
10;κρύβδην;κρύβδην;d--------;ADV
11;εὖ;εὖ;d--------;ADV
12;παθών;πάσχω;v-sapamn-;ADV
13;,;punc;u--------;AuxX
14;ὃς;ὅς;p-s---mn-;SBJ
15;τῶν;ὁ;l-p---mg-;ATR
16;φίλων;φίλος;a-p---mg-;ATR
17;τοὺς;ὁ;l-p---ma-;ATR
18;φανερῶς;φανερός;d--------;ADV
19;αὐτὸν;αὐτός;p-s---ma-;OBJ
20;εὖ;εὖ;d--------;ADV
21;ποιήσαντας;ποιέω;v-papama-;OBJ
22;κακῶς;κακός;d--------;ADV
23;ποιεῖ;ποιέω;v3spia---;SBJ
24;.;punc;u--------;AuxK
