@id;@form;@lemma;@postag;@relation
1;ἐγὼ;ἐγώ;p1s---mn-;SBJ
2;δέ;δέ;d--------;AuxY
3;γε;γε;d--------;AuxZ
4;,;punc;u--------;AuxX
5;ὦ;ὦ;i--------;AuxZ
6;ἄνδρες;ἀνήρ;n-p---mv-;ExD
7;Ἀθηναῖοι;Ἀθηναῖος;n-p---mv-;ATR
8;,;punc;u--------;AuxX
9;ἀδικεῖν;ἀδικέω;v--pna---;OBJ
10;φημι;φημί;v1spia---;PRED
11;Μέλητον;Μέλητος;n-s---ma-;SBJ
12;,;punc;u--------;AuxX
13;ὅτι;ὅτι;c--------;AuxC
14;σπουδῇ;σπουδή;n-s---fd-;ADV
15;χαριεντίζεται;χαριεντίζομαι;v3spie---;ADV
16;,;punc;u--------;AuxX
17;ῥᾳδίως;ῥᾴδιος;d--------;ADV
18;εἰς;εἰς;r--------;AuxP
19;ἀγῶνα;ἀγών;n-s---ma-;OBJ
20;καθιστὰς;καθίστημι;v-sppamn-;ADV
21;ἀνθρώπους;ἄνθρωπος;n-p---ma-;OBJ
22;,;punc;u--------;AuxX
23;περὶ;περί;r--------;AuxP
24;πραγμάτων;πρᾶγμα;n-p---ng-;ADV
25;προσποιούμενος;προσποιέω;v-sppemn-;ADV
26;σπουδάζειν;σπουδάζω;v--pna---;OBJ_CO
27;καὶ;καί;c--------;COORD
28;κήδεσθαι;κήδω;v--pne---;OBJ_CO
29;ὧν;ὅς;p-p---ng-;ATR
30;οὐδὲν;οὐδείς;p-s---nn-;SBJ
31;τούτῳ;οὗτος;p-s---md-;OBJ
32;πώποτε;πώποτε;d--------;ADV
33;ἐμέλησεν;μέλω;v3saia---;ATR
34;·;punc;u--------;AuxK
