@id;@form;@lemma;@postag;@relation
1;πτοηθέντος;πτοέω;v-sappmg-;ADV_CO
2;οὖν;οὖν;d--------;AuxY
3;καὶ;καί;c--------;COORD
4;διαφυγόντος;διαφεύγω;v-sapamg-;ADV_CO
5;ἔτι;ἔτι;d--------;ADV
6;μᾶλλον;μάλα;d-------c;ADV
7;ἐκβοῆσαι;ἐκβοάω;v--ana---;OBJ_CO
8;τοὺς;ὁ;l-p---ma-;ATR
9;Ἀθηναίους;Ἀθήναιος;n-p---ma-;SBJ
10;,;punc;u--------;AuxX
11;πολλοὺς;πολύς;a-p---ma-;SBJ
12;δὲ;δέ;d--------;AuxY
13;συνθηρᾶν;συνθηράω;v--pna---;OBJ_CO
14;ἀναστάντας;ἀνίστημι;v-papama-;ADV
15;,;punc;u--------;AuxX
16;λαβεῖν;λαμβάνω;v--ana---;OBJ_CO
17;δʼ;δέ;c--------;COORD
18;αὐτὸν;αὐτός;p-s---ma-;OBJ
19;Ἀντίοχον;Ἀντίοχος;n-s---ma-;SBJ
20;τὸν;ὁ;l-s---ma-;ATR
21;κυβερνήτην;κυβερνήτης;n-s---ma-;ATR
22;καὶ;καί;c--------;COORD
23;ἀποδοῦναι;ἀποδίδωμι;v--ana---;OBJ_CO
24;·;punc;u--------;AuxK
