@id;@form;@lemma;@postag;@relation
1;αὔξουσιν;αὐξάνω;v3ppia---;PRED_CO
2;ἀμφότεραι;ἀμφότερος;a-p---fn-;SBJ
3;,;punc;u--------;AuxX
4;προσκοσμοῦσιν;προσκοσμέω;v3ppia---;PRED_CO
5;ἄνδρας;ἀνήρ;n-p---ma-;OBJ
6;,;punc;u--------;COORD
7;εἰς;εἰς;r--------;AuxP
8;δόξαν;δόξα;n-s---fa-;OBJ_CO
9;ἀνάγουσιν;ἀνάγω;v3ppia---;PRED_CO
10;,;punc;u--------;AuxX
11;εἰς;εἰς;r--------;AuxP
12;δύναμιν;δύναμις;n-s---fa-;OBJ_CO
13;,;punc;u--------;COORD
14;εἰς;εἰς;r--------;AuxP
15;ἡγεμονίαν;ἡγεμονία;n-s---fa-;OBJ_CO
16;.;punc;u--------;AuxK
