@id;@form;@lemma;@postag;@relation
1;αὐτὸν;αὐτός;a-s---ma-;ATR
2;δὲ;δέ;d--------;AuxY
3;τὸν;ὁ;l-s---ma-;ATR
4;Λυκοῦργον;Λυκοῦργος;n-s---ma-;SBJ
5;Ἱππίας;Ἱππίας;n-s---mn-;SBJ
6;μὲν;μέν;d--------;AuxY
7;ὁ;ὁ;l-s---mn-;ATR
8;σοφιστὴς;σοφιστής;n-s---mn-;ATR
9;πολεμικώτατόν;πολεμικός;a-s---mas;PNOM_CO
10;φησι;φημί;v3spia---;PRED_CO
11;γενέσθαι;γίγνομαι;v--anm---;OBJ
12;καὶ;καί;c--------;COORD
13;πολλῶν;πολύς;a-p---fg-;ATR
14;ἔμπειρον;ἔμπειρος;a-s---ma-;PNOM_CO
15;στρατειῶν;στρατεία;n-p---fg-;ATR
16;,;punc;u--------;AuxX
17;Φιλοστέφανος;Φιλοστέφανος;n-s---mn-;SBJ
18;δὲ;δέ;c--------;COORD
19;καὶ;καί;d--------;AuxZ
20;τὴν;ὁ;l-s---fa-;ATR
21;κατ᾽;κατά;r--------;AuxP
22;οὐλαμοὺς;οὐλαμός;n-p---ma-;ATR
23;τῶν;ὁ;l-p---mg-;ATR
24;ἱππέων;ἱππεύς;n-p---mg-;ATR
25;διανομὴν;διανομή;n-s---fa-;OBJ
26;Λυκούργῳ;Λυκοῦργος;n-s---md-;OBJ
27;προστίθησιν;προστίθημι;v3spia---;PRED_CO
28;:;punc;u--------;AuxK
