@id;@form;@lemma;@postag;@relation
1;οὔ;οὐ;d--------;AuxZ
2;-τε;τε;d--------;AuxY
3;γὰρ;γάρ;d--------;AuxY
4;χορηγιῶν;χορηγία;n-p---fg-;ATR_CO
5;οὔ;οὐ;d--------;AuxZ
6;-θʼ;τε;d--------;AuxY
7;ὅπλων;ὅπλον;n-p---ng-;ATR_CO
8;οὔ;οὐ;d--------;AuxZ
9;-τʼ;τε;c--------;COORD
10;ἀνδρῶν;ἀνήρ;n-p---mg-;ATR_CO
11;πλῆθος;πλῆθος;n-s---na-;OBJ
12;καταπλαγεὶς;καταπλήσσω;v-sappmn-;ADV
13;ἄν;ἄν;d--------;AuxY
14;τις;τις;p-s---cn-;SBJ
15;ἀποσταίη;ἀφίστημι;v3saoa---;PRED
16;τῆς;ὁ;l-s---fg-;ATR
17;τελευταίας;τελευταῖος;a-s---fg-;ATR
18;ἐλπίδος;ἐλπίς;n-s---fg-;OBJ_AP
19;,;punc;u--------;APOS
20;τοῦ;ὁ;l-s---ng-;ATR
21;διαγωνίζεσθαι;διαγωνίζομαι;v--pne---;OBJ_AP
22;περὶ;περί;r--------;AuxP
23;τῆς;ὁ;l-s---fg-;ATR
24;σφετέρας;σφέτερος;a-s---fg-;ATR
25;χώρας;χώρα;n-s---fg-;ADV_CO
26;καὶ;καί;c--------;COORD
27;πατρίδος;πατρίς;n-s---fg-;ADV_CO
28;,;punc;u--------;AuxX
29;λαμβάνων;λαμβάνω;v-sppamn-;ADV_CO
30;πρὸ;πρό;r--------;AuxP
31;ὀφθαλμῶν;ὀφθαλμός;n-p---mg-;ADV
32;τὸ;ὁ;l-s---na-;ATR
33;παράδοξον;παράδοξος;a-s---na-;OBJ
34;τῶν;ὁ;l-p---ng-;ATR
35;τότε;τότε;d--------;ADV
36;γενομένων;γίγνομαι;v-papmng-;ATR
37;καὶ;καί;c--------;COORD
38;μνημονεύσας;μνημονεύω;v-sapamn-;ADV_CO
39;ὅσας;ὅσος;a-p---fa-;ATR
40;μυριάδας;μυριάς;n-p---fa-;OBJ_CO
41;καὶ;καί;d--------;AuxY
42;τίνας;τις;a-p---ca-;ATR
43;τόλμας;τόλμα;n-p---fa-;OBJ_CO
44;καὶ;καί;c--------;COORD
45;πηλίκας;πηλίκος;a-p---fa-;ATR
46;παρασκευὰς;παρασκευή;n-p---fa-;OBJ_CO
47;ἡ;ὁ;l-s---fn-;ATR
48;τῶν;ὁ;l-p---mg-;ATR
49;σὺν;σύν;r--------;AuxP
50;νῷ;νόος;n-s---md-;ADV_CO
51;καὶ;καί;c--------;COORD
52;μετὰ;μετά;r--------;AuxP
53;λογισμοῦ;λογισμός;n-s---mg-;ADV_CO
54;κινδυνευόντων;κινδυνεύω;v-pppamg-;ATR
55;αἵρεσις;αἵρεσις;n-s---fn-;SBJ_CO
56;καὶ;καί;c--------;COORD
57;δύναμις;δύναμις;n-s---fn-;SBJ_CO
58;καθεῖλεν;καθαιρέω;v3saia---;OBJ
59;.;punc;u--------;AuxK
