@id;@form;@lemma;@postag;@relation
1;διόπερ;διόπερ;d--------;AuxY
2;εἰς;εἰς;r--------;AuxP
3;ταῦτα;οὗτος;p-p---na-;OBJ
4;βλέπων;βλέπω;v-sppamn-;ATR
5;οὐκ;οὐ;d--------;AuxZ
6;ἄν;ἄν;d--------;AuxY
7;τις;τις;p-s---cn-;SBJ
8;εἰπεῖν;λέγω;v--ana---;OBJ
9;ὀκνήσειεν;ὀκνέω;v3saoa---;PRED
10;ὡς;ὡς;c--------;AuxC
11;οὐ;οὐ;d--------;AuxZ
12;μόνον;μόνος;a-s---na-;AuxZ
13;τὰ;ὁ;l-p---na-;ATR
14;σώματα;σῶμα;n-p---na-;SBJ_CO
15;τῶν;ὁ;l-p---mg-;ATR
16;ἀνθρώπων;ἄνθρωπος;n-p---mg-;ATR
17;καί;καί;c--------;COORD
18;τινα;τις;p-s---ca-;SBJ_CO
19;τῶν;ὁ;l-p---fg-;ATR
20;ἐν;ἐν;r--------;AuxP
21;αὐτοῖς;αὐτός;p-p---nd-;ADV
22;γεννωμένων;γεννάω;v-pppeng-;ATR
23;ἑλκῶν;ἕλκος;n-p---mg-;ATR
24;καὶ;καί;c--------;COORD
25;φυμάτων;φῦμα;n-p---ng-;ATR
26;ἀποθηριοῦσθαι;ἀποθηριόω;v--pne---;SBJ_CO
27;συμβαίνει;συμβαίνω;v2spie---;OBJ
28;καὶ;καί;c--------;COORD
29;τελέως;τέλειος;d--------;ADV
30;ἀβοήθητα;ἀβοήθητος;a-p---na-;PNOM
31;γίνεσθαι;γίγνομαι;v--pne---;SBJ_CO
32;,;punc;u--------;AuxX
33;πολὺ;πολύς;a-s---na-;ADV
34;δὲ;δέ;c--------;COORD
35;μάλιστα;μάλα;d-------s;ADV
36;τὰς;ὁ;l-p---fa-;ATR
37;ψυχάς;ψυχή;n-p---fa-;SBJ_CO
38;.;punc;u--------;AuxK
