@id;@form;@lemma;@postag;@relation
1;ἆρα;ἆρα;d--------;AuxZ
2;δή;δή;d--------;AuxZ
3;τι;τις;p-s---nn-;PNOM
4;θαυμαστόν;θαυμαστός;a-s---nn-;ATR
5;ἐστιν;εἰμί;v3spia---;PRED
6;,;punc;u--------;AuxX
7;εἰ;εἰ;c--------;AuxC
8;τοσούτων;τοσοῦτος;a-p---ng-;ATR
9;ὑπαρχόντων;ὑπάρχω;v-pppang-;ADV
10;πραγμάτων;πρᾶγμα;n-p---ng-;SBJ
11;μὴ;μή;d--------;AuxZ
12;οἷοί;οἷος;a-p---mn-;PNOM
13;τ᾽;τε;d--------;AuxZ
14;εἰσὶ;εἰμί;v3ppia---;ADV
15;πᾶσιν;πᾶς;a-p---md-;ATR
16;ἀνθρώποις;ἄνθρωπος;n-p---md-;OBJ
17;χρηματίσαι;χρηματίζω;v--ana---;ADV
18;";";punc;u--------;AuxK
