@id;@form;@lemma;@postag;@relation
1;κατὰ;κατά;r--------;AuxP
2;οὖν;οὖν;d--------;AuxY
3;μεταπύργιον;μεταπύργιον;n-s---na-;ADV
4;προσέμισγον;προσμείγνυμι;v3piia---;PRED_CO
5;πρὸς;πρός;r--------;AuxP
6;τὰς;ὁ;l-p---fa-;ATR
7;ἐπάλξεις;ἔπαλξις;n-p---fa-;OBJ
8;,;punc;u--------;AuxX
9;εἰδότες;οἶδα;v-prpamn-;ADV
10;ὅτι;ὅτι;c--------;AuxC
11;ἐρῆμοί;ἐρῆμος;a-p---mn-;PNOM
12;εἰσι;εἰμί;v3ppia---;OBJ
13;,;punc;u--------;AuxX
14;πρῶτον;πρῶτος;a-s---nas;ADV
15;μὲν;μέν;d--------;AuxZ
16;οἱ;ὁ;l-p---mn-;ATR
17;τὰς;ὁ;l-p---fa-;ATR
18;κλίμακας;κλῖμαξ;n-p---fa-;OBJ
19;φέροντες;φέρω;v-pppamn-;SBJ
20;,;punc;u--------;AuxX
21;καὶ;καί;c--------;COORD
22;προσέθεσαν;προστίθημι;v3paia---;PRED_CO
23;:;punc;u--------;AuxK
