@id;@form;@lemma;@postag;@relation
1;μέγα;μέγας;a-s---na-;ADV
2;δὲ;δέ;d--------;AuxY
3;καὶ;καί;d--------;AuxZ
4;εἰς;εἰς;r--------;AuxP
5;τοῦτο;οὗτος;p-s---na-;OBJ
6;συμβάλλεται;συμβάλλω;v3spie---;PRED
7;ὅτι;ὅτι;c--------;AuxC
8;ὁρῶσι;ὁράω;v3ppia---;OBJ_CO
9;τοὺς;ὁ;l-p---ma-;ATR
10;πρεσβυτέρους;πρέσβυς;a-p---mac;SBJ
11;οὐ;οὐ;d--------;AuxZ
12;πρόσθεν;πρόσθεν;d--------;ADV
13;ἀπιόντας;ἄπειμι;v-pppama-;OBJ
14;γαστρὸς;γαστήρ;n-s---fg-;ADV
15;ἕνεκα;ἕνεκα;r--------;AuxP
16;πρὶν;πρίν;c--------;AuxC
17;ἂν;ἄν;d--------;AuxY
18;ἀφῶσιν;ἀφίημι;v3pasa---;ADV
19;οἱ;ὁ;l-p---mn-;ATR
20;ἄρχοντες;ἄρχω;v-pppamn-;SBJ
21;,;punc;u--------;AuxX
22;καὶ;καί;c--------;COORD
23;ὅτι;ὅτι;c--------;AuxC
24;οὐ;οὐ;d--------;AuxZ
25;παρὰ;παρά;r--------;AuxP
26;μητρὶ;μήτηρ;n-s---fd-;ADV_CO
27;σιτοῦνται;σιτέω;v3ppie---;OBJ_CO
28;οἱ;ὁ;l-p---mn-;ATR
29;παῖδες;παῖς;n-p---mn-;SBJ
30;,;punc;u--------;AuxX
31;ἀλλὰ;ἀλλά;c--------;COORD
32;παρὰ;παρά;r--------;AuxP
33;τῷ;ὁ;l-s---md-;ATR
34;διδασκάλῳ;διδάσκαλος;n-s---md-;ADV_CO
35;,;punc;u--------;AuxX
36;ὅταν;ὅταν;c--------;AuxC
37;οἱ;ὁ;l-p---mn-;ATR
38;ἄρχοντες;ἄρχω;v-pppamn-;SBJ
39;σημήνωσι;σημαίνω;v3pasa---;ADV
40;.;punc;u--------;AuxK
