@id;@form;@lemma;@postag;@relation
1;καὶ;καί;d--------;AuxY
2;σὺ;σύ;p2s---mn-;SBJ
3;γελάσας;γελάω;v-sapamn-;ADV
4;διῆλθές;διέρχομαι;v2saia---;PRED
5;μοι;ἐγώ;p1s---md-;OBJ
6;παρατιθεὶς;παρατίθημι;v-sppamn-;ADV
7;ἕκαστον;ἕκαστος;a-s---na-;OBJ
8;τί;τις;a-s---nn-;ATR
9;εἴη;εἰμί;v3spoa---;OBJ_CO
10;ὄφελος;ὄφελος;n-s---nn-;SBJ
11;στρατιᾷ;στρατιά;n-s---fd-;PNOM
12;τακτικῶν;τακτικός;a-p---ng-;ATR
13;ἄνευ;ἄνευ;r--------;AuxP
14;τῶν;ὁ;l-p---ng-;ATR
15;ἐπιτηδείων;ἐπιτήδειος;a-p---ng-;ATR
16;,;punc;u--------;AuxX
17;τί;τις;a-s---nn-;ATR
18;δʼ;δέ;d--------;AuxY
19;ἄνευ;ἄνευ;r--------;AuxP
20;τοῦ;ὁ;l-s---ng-;ATR
21;ὑγιαίνειν;ὑγιαίνω;v--pna---;ATR
22;,;punc;u--------;AuxX
23;τί;τις;a-s---nn-;ATR
24;δʼ;δέ;d--------;AuxY
25;ἄνευ;ἄνευ;r--------;AuxP
26;τοῦ;ὁ;l-s---ng-;ATR
27;ἐπίστασθαι;ἐπίσταμαι;v--pne---;ATR
28;τὰς;ὁ;l-p---fa-;ATR
29;ηὑρημένας;εὑρίσκω;v-prpefa-;ATR
30;εἰς;εἰς;r--------;AuxP
31;πόλεμον;πόλεμος;n-s---ma-;ADV
32;τέχνας;τέχνη;n-p---fa-;OBJ
33;,;punc;u--------;AuxX
34;τί;τις;a-s---nn-;ATR
35;δʼ;δέ;c--------;COORD
36;ἄνευ;ἄνευ;r--------;AuxP
37;τοῦ;ὁ;l-s---ng-;ATR
38;πείθεσθαι;πείθω;v--pne---;ATR
39;.;punc;u--------;AuxK
40;εἴη;εἰμί;v3spoa---;OBJ_CO
41;εἴη;εἰμί;v3spoa---;OBJ_CO
42;εἴη;εἰμί;v3spoa---;OBJ_CO
43;στρατιᾷ;στρατιά;n-s---fd-;PNOM
44;στρατιᾷ;στρατιά;n-s---fd-;PNOM
45;στρατιᾷ;στρατιά;n-s---fd-;PNOM
46;ὄφελος;ὄφελος;n-s---nn-;SBJ
47;ὄφελος;ὄφελος;n-s---nn-;SBJ
48;ὄφελος;ὄφελος;n-s---nn-;SBJ
