@id;@form;@lemma;@postag;@relation
1;οὐ;οὐ;d--------;AuxZ
2;γὰρ;γάρ;d--------;AuxY
3;τὸ;ὁ;l-s---nn-;ATR
4;μὴ;μή;d--------;AuxZ
5;λαβεῖν;λαμβάνω;v--ana---;SBJ
6;τ-;ὁ;l-p---na-;ATR
7;ἀγαθὰ;ἀγαθός;a-p---na-;OBJ
8;οὕτω;οὕτως;d--------;ADV
9;χαλεπὸν;χαλεπός;a-s---nn-;PNOM
10;ὥσπερ;ὥσπερ;c--------;AuxC
11;τὸ;ὁ;l-s---nn-;ATR
12;λαβόντα;λαμβάνω;v-sapama-;ADV
13;στερηθῆναι;στερέω;v--anp---;SBJ
14;λυπηρόν;λυπηρός;a-s---nn-;PNOM
15;.;punc;u--------;AuxK
16;ἐστιν;εἰμί;v3spia---;PRED
17;ἐστιν;εἰμί;v3spia---;ADV
