@id;@form;@lemma;@postag;@relation
1;οὐ;οὐ;d--------;AuxZ
2;μὰ;μά;r--------;AuxP
3;Δίʼ;Ζεύς;n-s---ma-;ExD
4;,;punc;u--------;AuxX
5;ἔφη;φημί;v3siia---;AuxY
6;ὁ;ὁ;l-s---mn-;ATR
7;Φεραύλας;Φεραύλας;n-s---mn-;SBJ
8;,;punc;u--------;AuxX
9;οὐ;οὐ;d--------;AuxZ
10;μόνον;μόνος;a-s---na-;AuxZ
11;γε;γε;d--------;AuxZ
12;,;punc;u--------;AuxX
13;ὡς;ὡς;c--------;AuxC
14;ἔοικεν;ἔοικα;v3sria---;AuxY
15;,;punc;u--------;AuxX
16;ἀλλὰ;ἀλλά;c--------;COORD
17;καὶ;καί;d--------;AuxZ
18;συσκευοφορήσω;συσκευοφορέω;v1sfia---;PRED_CO
19;·;punc;u--------;AuxK
20;ἐστιν;εἰμί;v3spia---;PRED_CO
