@id;@form;@lemma;@postag;@relation
1;τοῦ;ὁ;l-s---mg-;ATR
2;δὲ;δέ;d--------;AuxY
3;δήμου;δῆμος;n-s---mg-;ATR
4;ἔνιοι;ἔνιοι;a-p---mn-;SBJ
5;ταῦτα;οὗτος;p-p---na-;OBJ
6;ἐπῄνουν;ἐπαινέω;v3piia---;PRED_CO
7;,;punc;u--------;AuxX
8;τὸ;ὁ;l-s---nn-;ATR
9;δὲ;δέ;c--------;COORD
10;πλῆθος;πλῆθος;n-s---nn-;SBJ
11;ἐβόα;βοάω;v3siia---;PRED_CO
12;δεινὸν;δεινός;a-s---na-;PNOM
13;εἶναι;εἰμί;v--pna---;OBJ
14;εἰ;εἰ;c--------;AuxC
15;μή;μή;d--------;AuxZ
16;τις;τις;p-s---cn-;SBJ
17;ἐάσει;ἐάω;v3sasa---;SBJ
18;τὸν;ὁ;l-s---ma-;ATR
19;δῆμον;δῆμος;n-s---ma-;SBJ
20;πράττειν;πράσσω;v--pna---;OBJ
21;ὃ;ὅς;p-s---na-;OBJ
22;ἂν;ἄν;d--------;AuxY
23;βούληται;βούλομαι;v3spse---;OBJ
24;.;punc;u--------;AuxK
