@id;@form;@lemma;@postag;@relation
1;οἵ;ὁ;l-p---mn-;ATR
2;γε;γε;d--------;AuxZ
3;μὴν;μήν;d--------;AuxY
4;ἄλλοι;ἄλλος;p-p---mn-;SBJ
5;τριάκοντα;τριάκοντα;m--------;ATR
6;ὑπὸ;ὑπό;r--------;AuxP
7;τοῦ;ὁ;l-s---mg-;ATR
8;φθόνου;φθόνος;n-s---mg-;ADV
9;οὐκ;οὐ;d--------;AuxZ
10;ἐσίγων;σιγάω;v3piia---;PRED_CO
11;,;punc;u--------;AuxX
12;ἀλλʼ;ἀλλά;c--------;COORD
13;ἔλεγον;λέγω;v3piia---;PRED_CO
14;πρὸς;πρός;r--------;AuxP
15;τὸν;ὁ;l-s---ma-;ATR
16;Ἀγησίλαον;Ἀγησίλαος;n-s---ma-;OBJ
17;ὡς;ὡς;c--------;AuxC
18;παράνομα;παράνομος;a-p---na-;OBJ
19;ποιοίη;ποιέω;v3spoa---;OBJ
20;Λύσανδρος;Λύσανδρος;n-s---mn-;SBJ
21;τῆς;ὁ;l-s---fg-;ATR
22;βασιλείας;βασιλεία;n-s---fg-;ADV
23;ὀγκηρότερον;ὀγκηρός;a-------c;ADV
24;διάγων;διάγω;v-sppamn-;ADV
25;.;punc;u--------;AuxK
