Forma;Lemma originale;Lemma corretto;Postag originale;Postag corretto;Tipo modifica
-;['punc1'];['punc'];['u--------'];['u--------'];lemma
- - -;['punc1'];['punc'];['u--------'];['u--------'];lemma
--;['punc1'];['punc'];['u--------'];['u--------'];lemma
---;['punc1'];['punc'];['u--------'];['u--------'];lemma
-δὲ;['-δέ', 'δέ', 'δὲ', 'μηδέ', 'οδέ', 'οὐδέ'];['δέ'];['c--------', 'd--------'];['c--------', 'd--------'];lemma
-δ᾽;['-δέ', 'δέ', 'μηδέ', 'οὐδέ'];['δέ'];['c--------', 'd--------'];['c--------', 'd--------'];lemma
-θ᾽;['-τε', 'οὔτε', 'τε'];['τε'];['c--------', 'd--------'];['c--------', 'd--------'];lemma
-τ᾽;['-τε', 'οὔτε', 'τε'];['τε'];['c--------', 'd--------'];['c--------', 'd--------'];lemma
-ᾆτ᾽;['εἶτα'];['καί εἶτα'];['d--------'];['d--------'];lemma
....;['punc1'];['punc'];['u--------'];['u--------'];lemma
.᾽;['punc1'];['punc'];['u--------'];['u--------'];lemma
";";"[';', 'punc1']";['punc'];['u--------'];['u--------'];lemma
<;['punc1'];['<'];['u--------'];['u--------'];lemma
>;['punc1'];['punc'];['u--------'];['u--------'];lemma
[;['punc1'];['['];['u--------'];['u--------'];lemma
];['punc1'];[']'];['u--------'];['u--------'];lemma
·;['punc1', '·'];['punc'];['u--------'];['u--------'];lemma
Αλεκτρυόνα;['ἀλεκτρυών'];['Αλεκτρυών'];['n-s---ma-'];['n-s---ma-'];lemma
Αἰγέστῳ;['Αἰγέστος', 'Αἴγεστος'];['Αἰγέστης', 'Αἴγεστος'];['n-s---md-'];['n-s---md-'];lemma
Αἰγίνης;['Αἴγινα', 'αἰγίνη'];['Αἴγινα'];['n-s---fg-'];['n-s---fg-'];lemma
Αἰγίνῃ;['Αἴγινα', 'αἰγίνη'];['Αἴγινα'];['n-s---fd-'];['n-s---fd-'];lemma
Αἰγυπτίου;['Αἰγυπτιός'];['Αἰγύπτιος'];['a-s---ng-'];['a-s---ng-'];lemma
Αἰγυπτίῃσι;['αἰγυπτία'];['Αἰγύπτιος'];['n-p---fd-'];['n-p---fd-'];lemma
Αἰγὸς;['Αἴξ', 'αἴξ'];['Αἴξ'];['n-s---mg-'];['n-s---mg-'];lemma
Αἰγῦτιν;['Αἶγυς'];['Αἰγῦτις'];['n-s---fa-'];['n-s---fa-'];lemma
