@ref,@id,@form,@lemma,@postag
Leuven|0058-001|31|1,1,ἔπειτα,ἔπειτα,d--------
Leuven|0058-001|31|2,2,οὕτως,οὕτως,d--------
Leuven|0058-001|31|3,3,ἀφ’,ἀπό,r--------
Leuven|0058-001|31|4,4,ἑκάστης,ἕκαστος,a-s---fg-
Leuven|0058-001|31|5,5,φυλῆς,φυλή,n-s---fg-
Leuven|0058-001|31|6,6,τοὺς,ὁ,l-p---ma-
Leuven|0058-001|31|7,7,δυναμένους,δύναμαι,v-pppema-
Leuven|0058-001|31|8,8,τοῖς,ὁ,l-p---nd-
Leuven|0058-001|31|9,9,σώμασι,σῶμα,n-p---nd-
Leuven|0058-001|31|10,10,πονέσαι,πονέω,v--ana---
Leuven|0058-001|31|11,11,ἀπολέγειν,ἀπολέγω,v--pna---
Leuven|0058-001|31|12,12,εἴς,εἰς,r--------
Leuven|0058-001|31|13,13,τε,τε,c--------
Leuven|0058-001|31|14,14,τὴν,ὁ,l-s---fa-
Leuven|0058-001|31|15,15,ἀγορὰν,ἀγορά,n-s---fa-
Leuven|0058-001|31|16,16,καὶ,καί,c--------
Leuven|0058-001|31|17,17,τὰς,ὁ,l-p---fa-
Leuven|0058-001|31|18,18,περιοδίας,περιοδία,n-p---fa-
Leuven|0058-001|31|19,19,",",",",u--------
Leuven|0058-001|31|20,20,καὶ,καί,c--------
Leuven|0058-001|31|21,21,εἴ,εἰ,c--------
Leuven|0058-001|31|22,22,τι,τις,p-s---nn-
Leuven|0058-001|31|23,23,ἄλλο,ἄλλος,p-s---nn-
Leuven|0058-001|31|24,24,δεῖ,δέω,v3spia---
Leuven|0058-001|31|25,25,χρῆσθαι,χράω,v--pne---
Leuven|0058-001|31|26,26,τοῖς,ὁ,l-p---md-
Leuven|0058-001|31|27,27,τοιούτοις,τοιοῦτος,a-p---md-
Leuven|0058-001|31|28,28,ἀνθρώποις,ἄνθρωπος,n-p---md-
Leuven|0058-001|31|29,29,.,.,u--------
Leuven|0058-001|31|30,30,[0],,
