@ref,@id,@form,@lemma,@postag
Leuven|0096-00#|1266|1,1,βοηλάτης,βοηλάτης,n-s---mn-
Leuven|0096-00#|1266|2,2,ἐκ,ἐκ,r--------
Leuven|0096-00#|1266|3,3,κώμης,κώμη,n-s---fg-
Leuven|0096-00#|1266|4,4,ἅμαξαν,ἄμαξα,n-s---fa-
Leuven|0096-00#|1266|5,5,ἄγων,ἄγω,v-sppamn-
Leuven|0096-00#|1266|6,6,",",",",u--------
Leuven|0096-00#|1266|7,7,καί,καί,c--------
Leuven|0096-00#|1266|8,8,ταύτης,οὗτος,p-s---fg-
Leuven|0096-00#|1266|9,9,ἐμπεσούσης,ἐμπίπτω,v-sapafg-
Leuven|0096-00#|1266|10,10,εἰς,εἰς,r--------
Leuven|0096-00#|1266|11,11,φάραγγα,φάραγξ,n-s---fa-
Leuven|0096-00#|1266|12,12,κοιλώδη,κοιλώδης,a-s---fa-
Leuven|0096-00#|1266|13,13,",",",",u--------
Leuven|0096-00#|1266|14,14,δέον,δέω,v-sppana-
Leuven|0096-00#|1266|15,15,βοηθεῖν,βοηθέω,v--pna---
Leuven|0096-00#|1266|16,16,",",",",u--------
Leuven|0096-00#|1266|17,17,ἀργός,ἀργός,a-s---mn-
Leuven|0096-00#|1266|18,18,ἵστατο,ἵστημι,v3siie---
Leuven|0096-00#|1266|19,19,τῷ,ὁ,l-s---md-
Leuven|0096-00#|1266|20,20,Ἡρακλεῖ,Ἡρακλῆς,n-s---md-
Leuven|0096-00#|1266|21,21,προσευχόμενος,προσεύχομαι,v-sppemn-
Leuven|0096-00#|1266|22,22,·,·,u--------
