@ref,@id,@form,@lemma,@postag
Leuven|0554-001|397|1,1,πατὴρ,πατήρ,n-s---mn-
Leuven|0554-001|397|2,2,γάρ,γάρ,d--------
Leuven|0554-001|397|3,3,μοι,ἐγώ,p1s---cd-
Leuven|0554-001|397|4,4,ἂν,ἄν,d--------
Leuven|0554-001|397|5,5,ἐκεῖ,ἐκεῖ,d--------
Leuven|0554-001|397|6,6,προσῆλθε,προσέρχομαι,v3saia---
Leuven|0554-001|397|7,7,καὶ,καί,b--------
Leuven|0554-001|397|8,8,μήτηρ,μήτηρ,n-s---fn-
Leuven|0554-001|397|9,9,",",",",u--------
Leuven|0554-001|397|10,10,καὶ,καί,b--------
Leuven|0554-001|397|11,11,Χαιρέας,Χαιρέας,n-s---mn-
Leuven|0554-001|397|12,12,ἐπέσπεισε,ἐπισπένδω,v3saia---
Leuven|0554-001|397|13,13,δακρύων,δάκρυον,n-p---ng-
Leuven|0554-001|397|14,14,·,·,u--------
|0554-001|396|15,15,[0],,
