@ref,@id,@form,@lemma,@postag
Leuven|0041-001|130|1,1,ὠφελιμώτερος,ὠφέλιμος,a-s---mnc
Leuven|0041-001|130|2,2,γὰρ,γάρ,d--------
Leuven|0041-001|130|3,3,εἶναι,εἰμί,v--pna---
Leuven|0041-001|130|4,4,οἷς,ὅς,p-p---md-
Leuven|0041-001|130|5,5,συμπαθῶ,συμπαθέω,v1spia---
Leuven|0041-001|130|6,6,βούλομαι,βούλομαι,v1spie---
Leuven|0041-001|130|7,7,",",",",u--------
Leuven|0041-001|130|8,8,τοῦτο,οὗτος,p-s---na-
Leuven|0041-001|130|9,9,δὲ,δέ,d--------
Leuven|0041-001|130|10,10,τὸ,ὁ,l-s---na-
Leuven|0041-001|130|11,11,κράτος,κράτος,n-s---na-
Leuven|0041-001|130|12,12,μόνη,μόνος,a-s---fn-
Leuven|0041-001|130|13,13,ἔχει,ἔχω,v3spia---
Leuven|0041-001|130|14,14,φιλοσοφία,φιλοσοφία,n-s---fn-
Leuven|0041-001|130|15,15,.,.,u--------
"""""",16,[0],"""""",""""""
