@ref,@id,@form,@lemma,@postag
Leuven|0041-001|97|1,1,οἶδα,οἶδα,v1sria---
Leuven|0041-001|97|2,2,μὲν,μέν,d--------
Leuven|0041-001|97|3,3,οὖν,οὖν,d--------
Leuven|0041-001|97|4,4,ὅτι,ὅτι,c--------
Leuven|0041-001|97|5,5,οὐδὲν,οὐδείς,p-s---na-
Leuven|0041-001|97|6,6,πείσεται,πείθω,v3sfim---
Leuven|0041-001|97|7,7,ἄτρωτος,ἄτρωτος,a-s---mn-
Leuven|0041-001|97|8,8,ὢν,εἰμί,v-sppamn-
Leuven|0041-001|97|9,9,τὴν,ὁ,l-s---fa-
Leuven|0041-001|97|10,10,ψυχὴν,ψυχή,n-s---fa-
Leuven|0041-001|97|11,11,ὑπὸ,ὑπό,r--------
Leuven|0041-001|97|12,12,μωρίας,μωρία,n-s---fg-
Leuven|0041-001|97|13,13,",",",",u--------
Leuven|0041-001|97|14,14,ὅμως,ὅμως,d--------
Leuven|0041-001|97|15,15,δ’,δέ,d--------
Leuven|0041-001|97|16,16,οὖν,οὖν,d--------
Leuven|0041-001|97|17,17,ἡμῶν,ἐγώ,p1p---cg-
Leuven|0041-001|97|18,18,αὐτῶν,αὐτός,p-p---mg-
Leuven|0041-001|97|19,19,χάριν,χάρις,r--------
Leuven|0041-001|97|20,20,γενέσθω,γίγνομαι,v3samm---
Leuven|0041-001|97|21,21,τοῦτο,οὗτος,p-s---nn-
Leuven|0041-001|97|22,22,τὸ,ὁ,l-s---nn-
Leuven|0041-001|97|23,23,πολίτευμα,πολίτευμα,n-s---nn-
Leuven|0041-001|97|24,24,.,.,u--------
