@ref,@id,@form,@lemma,@postag
Leuven|0059-003|130|1,1,ἀλλ’,ἀλλά,b--------
Leuven|0059-003|130|2,2,",",",",u--------
Leuven|0059-003|130|3,3,ὦ,ὦ,i--------
Leuven|0059-003|130|4,4,θαυμάσιε,θαυμάσιος,a-s---mv-
Leuven|0059-003|130|5,5,",",",",u--------
Leuven|0059-003|130|6,6,οὗτός,οὗτος,p-s---mn-
Leuven|0059-003|130|7,7,τε,τε,c--------
Leuven|0059-003|130|8,8,ὁ,ὁ,l-s---mn-
Leuven|0059-003|130|9,9,λόγος,λόγος,n-s---mn-
Leuven|0059-003|130|10,10,ὃν,ὅς,p-s---ma-
Leuven|0059-003|130|11,11,διεληλύθαμεν,διέρχομαι,v1pria---
Leuven|0059-003|130|12,12,ἔμοιγε,ἐγώ,p1s---cd-
Leuven|0059-003|130|13,13,δοκεῖ,δοκέω,v3spia---
Leuven|0059-003|130|14,14,ἔτι,ἔτι,d--------
Leuven|0059-003|130|15,15,ὅμοιος,ὅμοιος,a-s---mn-
Leuven|0059-003|130|16,16,εἶναι,εἰμί,v--pna---
Leuven|0059-003|130|17,17,καὶ,καί,b--------
Leuven|0059-003|130|18,18,πρότερον,πρῶτος,d-------c
Leuven|0059-003|130|19,19,·,·,u--------
Leuven|0059-003|130|20,20,[0],,
