@ref,@id,@form,@lemma,@postag
Leuven|0537-012|6|1,1,μελετᾶν,μελετάω,v--pna---
Leuven|0537-012|6|2,2,οὖν,οὖν,d--------
Leuven|0537-012|6|3,3,χρή,χρή,v3spia---
Leuven|0537-012|6|4,4,τά,ὁ,l-p---na-
Leuven|0537-012|6|5,5,ποιοῦντα,ποιέω,v-pppana-
Leuven|0537-012|6|6,6,τήν,ὁ,l-s---fa-
Leuven|0537-012|6|7,7,εὐδαιμονίαν,εὐδαιμονία,n-s---fa-
Leuven|0537-012|6|8,8,",",",",u--------
Leuven|0537-012|6|9,9,εἴ,εἰ,c--------
Leuven|0537-012|6|10,10,περ,πέρ,d--------
Leuven|0537-012|6|11,11,παρούσης,πάρειμι1,v-sppafg-
Leuven|0537-012|6|12,12,μέν,μέν,d--------
Leuven|0537-012|6|13,13,αὐτῆς,αὐτός,p-s---fg-
Leuven|0537-012|6|14,14,",",",",u--------
Leuven|0537-012|6|15,15,πάντα,πᾶς,a-p---na-
Leuven|0537-012|6|16,16,ἔχομεν,ἔχω,v1ppia---
Leuven|0537-012|6|17,17,",",",",u--------
Leuven|0537-012|6|18,18,ἀπούσης,ἄπειμι,v-sppafg-
Leuven|0537-012|6|19,19,δέ,δέ,d--------
Leuven|0537-012|6|20,20,",",",",u--------
Leuven|0537-012|6|21,21,πάντα,πᾶς,a-p---na-
Leuven|0537-012|6|22,22,πράττομεν,πράσσω,v1ppia---
Leuven|0537-012|6|23,23,εἰς,εἰς,r--------
Leuven|0537-012|6|24,24,τό,ὁ,l-s---na-
Leuven|0537-012|6|25,25,ταύτην,οὗτος,a-s---fa-
Leuven|0537-012|6|26,26,ἔχειν,ἔχω,v--pna---
Leuven|0537-012|6|27,27,.,.,u--------
