@ref,@id,@form,@lemma,@postag
Leuven|Genesis|589|1,1,καί,καί,d--------
Leuven|Genesis|589|2,2,αὐξανῶ,αὐξάνω,v1sfia---
Leuven|Genesis|589|3,3,σε,σύ,p2s---ca-
Leuven|Genesis|589|4,4,σφόδρα,σφόδρα,d--------
Leuven|Genesis|589|5,5,σφόδρα,σφόδρα,d--------
Leuven|Genesis|589|6,6,καί,καί,b--------
Leuven|Genesis|589|7,7,θήσω,τίθημι,v1sfia---
Leuven|Genesis|589|8,8,σε,σύ,p2s---ca-
Leuven|Genesis|589|9,9,εἰς,εἰς,r--------
Leuven|Genesis|589|10,10,ἔθνη,ἔθνος,n-p---na-
Leuven|Genesis|589|11,11,",",",",u--------
Leuven|Genesis|589|12,12,καί,καί,b--------
Leuven|Genesis|589|13,13,βασιλεῖς,βασιλεύς,n-p---mn-
Leuven|Genesis|589|14,14,ἐκ,ἐκ,r--------
Leuven|Genesis|589|15,15,σοῦ,σύ,p2s---cg-
Leuven|Genesis|589|16,16,ἐξελεύσονται,ἐξέρχομαι,v3pfim---
Leuven|Genesis|589|17,17,.,.,u--------
