@ref,@id,@form,@lemma,@postag
Leuven|0559-002|11|1,1,καὶ,καί,b--------
Leuven|0559-002|11|2,2,πάλιν,πάλιν,d--------
Leuven|0559-002|11|3,3,κλεισθεισῶν,κλείω,v-pappfg-
Leuven|0559-002|11|4,4,καὶ,καί,b--------
Leuven|0559-002|11|5,5,ἀνοιχθεισῶν,ἀνοίγνυμι,v-pappfg-
Leuven|0559-002|11|6,6,τῶν,ὁ,l-p---fg-
Leuven|0559-002|11|7,7,θυρῶν,θύρα,n-p---fg-
Leuven|0559-002|11|8,8,ἑτέρα,ἕτερος,a-s---fn-
Leuven|0559-002|11|9,9,διάθεσις,διάθεσις,n-s---fn-
Leuven|0559-002|11|10,10,πάλιν,πάλιν,d--------
Leuven|0559-002|11|11,11,φαίνεται,φαίνω,v3spie---
Leuven|0559-002|11|12,12,ζῳδίων,ζῴδιον,n-p---ng-
Leuven|0559-002|11|13,13,ἁρμόζουσα,ἁρμόζω,v-sppafn-
Leuven|0559-002|11|14,14,τῇ,ὁ,l-s---fd-
Leuven|0559-002|11|15,15,πρότερον,πρότερος,d-------c
Leuven|0559-002|11|16,16,κειμένῃ,κεῖμαι,v-sppefd-
Leuven|0559-002|11|17,17,",",",",u--------
Leuven|0559-002|11|18,18,καὶ,καί,b--------
Leuven|0559-002|11|19,19,ἤτοι,ἤτοι,d--------
Leuven|0559-002|11|20,20,ἀπαρτίζει,ἀπαρτίζω,v3spia---
Leuven|0559-002|11|21,21,τὸν,ὁ,l-s---ma-
Leuven|0559-002|11|22,22,προκείμενον,πρόκειμαι,v-sppema-
Leuven|0559-002|11|23,23,μῦθον,μῦθος,n-s---ma-
Leuven|0559-002|11|24,24,ἢ,ἤ,b--------
Leuven|0559-002|11|25,25,πάλιν,πάλιν,d--------
Leuven|0559-002|11|26,26,μετὰ,μετά,r--------
Leuven|0559-002|11|27,27,ταύτην,οὗτος,p-s---fa-
Leuven|0559-002|11|28,28,ἑτέρα,ἕτερος,a-s---fn-
Leuven|0559-002|11|29,29,φαίνεται,φαίνω,v3spie---
Leuven|0559-002|11|30,30,",",",",u--------
Leuven|0559-002|11|31,31,ἄχρις,ἄχρι,r--------
Leuven|0559-002|11|32,32,ἂν,ἄν,d--------
Leuven|0559-002|11|33,33,ἀπαρτισθῇ,ἀπαρτίζω,v3sasp---
Leuven|0559-002|11|34,34,ὁ,ὁ,l-s---mn-
Leuven|0559-002|11|35,35,μῦθος,μῦθος,n-s---mn-
Leuven|0559-002|11|36,36,.,.,u--------
