@ref,@id,@form,@lemma,@postag
Leuven|0010-020|8|1,1,εἰ,εἰ,c--------
Leuven|0010-020|8|2,2,μὲν,μέν,d--------
Leuven|0010-020|8|3,3,οὖν,οὖν,d--------
Leuven|0010-020|8|4,4,εἶχον,ἔχω,v1siia---
Leuven|0010-020|8|5,5,τὴν,ὁ,l-s---fa-
Leuven|0010-020|8|6,6,αὐτὴν,αὐτός,p-s---fa-
Leuven|0010-020|8|7,7,δύναμιν,δύναμις,n-s---fa-
Leuven|0010-020|8|8,8,ἥνπερ,ὅς,p-s---fa-
Leuven|0010-020|8|9,9,πρότερον,πρότερος,d--------
Leuven|0010-020|8|10,10,",",",",u--------
Leuven|0010-020|8|11,11,καὶ,καί,b--------
Leuven|0010-020|8|12,12,μὴ,μή,d--------
Leuven|0010-020|8|13,13,παντάπασιν,παντάπασι,d--------
Leuven|0010-020|8|14,14,ἦν,εἰμί,v3siia---
Leuven|0010-020|8|15,15,ἀπειρηκώς,ἀπολέγω,v-srpamn-
Leuven|0010-020|8|16,16,",",",",u--------
Leuven|0010-020|8|17,17,οὐκ,οὐ,d--------
Leuven|0010-020|8|18,18,ἂν,ἄν,d--------
Leuven|0010-020|8|19,19,δι’,διά,r--------
Leuven|0010-020|8|20,20,ἐπιστολῆς,ἐπιστολή,n-s---fg-
Leuven|0010-020|8|21,21,διελεγόμην,διαλέγω,v1siie---
Leuven|0010-020|8|22,22,",",",",u--------
Leuven|0010-020|8|23,23,ἀλλὰ,ἀλλά,b--------
Leuven|0010-020|8|24,24,παρὼν,πάρειμι,v-sppamn-
Leuven|0010-020|8|25,25,αὐτὸς,αὐτός,p-s---mn-
Leuven|0010-020|8|26,26,παρώξυνον,παροξύνω,v1siia---
Leuven|0010-020|8|27,27,ἄν,ἄν,d--------
Leuven|0010-020|8|28,28,σε,σύ,p2s---ca-
Leuven|0010-020|8|29,29,καὶ,καί,b--------
Leuven|0010-020|8|30,30,παρεκάλουν,παρακαλέω,v1siia---
Leuven|0010-020|8|31,31,ἐπὶ,ἐπί,r--------
Leuven|0010-020|8|32,32,τὰς,ὁ,l-p---fa-
Leuven|0010-020|8|33,33,πράξεις,πρᾶξις,n-p---fa-
Leuven|0010-020|8|34,34,ταύτας,οὗτος,p-p---fa-
Leuven|0010-020|8|35,35,.,.,u--------
Leuven|0010-020|8|37,36,[1],_,-
Leuven|0010-020|8|38,37,[2],_,-
