@ref,@id,@form,@lemma,@postag
Leuven|2003-001|15|1,1,ἐπεί,ἐπεί,c--------
Leuven|2003-001|15|2,2,δέ,δέ,d--------
Leuven|2003-001|15|3,3,ἐν,ἐν,r--------
Leuven|2003-001|15|4,4,ἄλλοις,ἄλλος,p-p---nd-
Leuven|2003-001|15|5,5,μαθήμασι,μάθημα,n-p---nd-
Leuven|2003-001|15|6,6,τραφέντες,τρέφω,v-pappmn-
Leuven|2003-001|15|7,7,καί,καί,c--------
Leuven|2003-001|15|8,8,παιδευθέντες,παιδεύω,v-pappmn-
Leuven|2003-001|15|9,9,",",",",u--------
Leuven|2003-001|15|10,10,καθάπερ,καθά,c--------
Leuven|2003-001|15|11,11,ἐπιτηδεύμασι,ἐπιτήδευμα,n-p---nd-
Leuven|2003-001|15|12,12,καί,καί,c--------
Leuven|2003-001|15|13,13,νόμοις,νόμος,n-p---md-
Leuven|2003-001|15|14,14,",",",",u--------
Leuven|2003-001|15|15,15,ἀλλοτρίων,ἀλλότριος,a-p---ng-
Leuven|2003-001|15|16,16,κατατολμᾶν,κατατολμάω,v--pna---
Leuven|2003-001|15|17,17,ἔργων,ἔργον,n-p---ng-
Leuven|2003-001|15|18,18,δοκοῦμεν,δοκέω,v1ppia---
Leuven|2003-001|15|19,19,οὐκʼ,οὐ,d--------
Leuven|2003-001|15|20,20,ὀρθῶς,ὀρθός,d--------
Leuven|2003-001|15|21,21,",",",",u--------
Leuven|2003-001|15|22,22,μικρά,μικρός,a-p---na-
Leuven|2003-001|15|23,23,μοι,ἐγώ,p1s---cd-
Leuven|2003-001|15|24,24,δοκεῖ,δοκέω,v3spia---
Leuven|2003-001|15|25,25,χρῆναι,χρή,v--pna---
Leuven|2003-001|15|26,26,καί,καί,c--------
Leuven|2003-001|15|27,27,περί,περί,r--------
Leuven|2003-001|15|28,28,τούτων,οὗτος,p-p---ng-
Leuven|2003-001|15|29,29,δηλῶσαι,δηλόω,v--ana---
Leuven|2003-001|15|30,30,",",",",u--------
Leuven|2003-001|15|31,31,οἰκειοτέραν,οἰκεῖος,a-s---fac
Leuven|2003-001|15|32,32,ἀρχήν,ἀρχή,n-s---fa-
Leuven|2003-001|15|33,33,προθέντα,προτίθημι,v-sapama-
Leuven|2003-001|15|34,34,τοῦ,ὁ,l-s---mg-
Leuven|2003-001|15|35,35,λόγου,λόγος,n-s---mg-
Leuven|2003-001|15|36,36,.,.,u--------
