@ref,@id,@form,@lemma,@postag
Leuven|0561-001|12|1,1,θαυμάσας,θαυμάζω,v-sapamn-
Leuven|0561-001|12|2,2,",",",",u--------
Leuven|0561-001|12|3,3,ὥσπερ,ὥσπερ,c--------
Leuven|0561-001|12|4,4,εἰκός,εἴκως,a-s---nnp
Leuven|0561-001|12|5,5,ἦν,εἰμί,v3siia---
Leuven|0561-001|12|6,6,",",",",u--------
Leuven|0561-001|12|7,7,πρόσεισιν,πρόσειμι,v3spia---
Leuven|0561-001|12|8,8,ἐγγύς,ἐγγύς,d--------
Leuven|0561-001|12|9,9,καί,καί,b--------
Leuven|0561-001|12|10,10,εὑρίσκει,εὑρίσκω,v3spia---
Leuven|0561-001|12|11,11,παιδίον,παιδίον,n-s---na-
Leuven|0561-001|12|12,12,ἄρρεν,ἄρσην,a-s---na-
Leuven|0561-001|12|13,13,",",",",u--------
Leuven|0561-001|12|14,14,μέγα,μέγας,a-s---na-
Leuven|0561-001|12|15,15,καί,καί,b--------
Leuven|0561-001|12|16,16,καλόν,καλός,a-s---na-
Leuven|0561-001|12|17,17,καί,καί,b--------
Leuven|0561-001|12|18,18,τῆς,ὁ,l-s---fg-
Leuven|0561-001|12|19,19,κατά,κατά,r--------
Leuven|0561-001|12|20,20,τήν,ὁ,l-s---fa-
Leuven|0561-001|12|21,21,ἔκθεσιν,ἔκθεσις,n-s---fa-
Leuven|0561-001|12|22,22,τύχης,τύχη,n-s---fg-
Leuven|0561-001|12|23,23,ἐν,ἐν,r--------
Leuven|0561-001|12|24,24,σπαργάνοις,σπάργανον,n-p---nd-
Leuven|0561-001|12|25,25,κρείττοσι,κρείττων,a-p---ndc
Leuven|0561-001|12|26,26,·,·,u--------
