@ref,@id,@form,@lemma,@postag
Leuven|0062-020|16|1,1,ἔπειτα,ἔπειτα,d--------
Leuven|0062-020|16|2,2,δὲ,δέ,d--------
Leuven|0062-020|16|3,3,τοὺς,ὁ,l-p---ma-
Leuven|0062-020|16|4,4,ἀνθρώπους,ἄνθρωπος,n-p---ma-
Leuven|0062-020|16|5,5,ἀνέπλασας,ἀναπλάσσω,v2saia---
Leuven|0062-020|16|6,6,",",",",u--------
Leuven|0062-020|16|7,7,πανουργότατα,πάνουργος,a-p---nas
Leuven|0062-020|16|8,8,ζῷα,ζῷον,n-p---na-
Leuven|0062-020|16|9,9,",",",",u--------
Leuven|0062-020|16|10,10,καὶ,καί,b--------
Leuven|0062-020|16|11,11,μάλιστά,μάλα,d-------s
Leuven|0062-020|16|12,12,γε,γε,d--------
Leuven|0062-020|16|13,13,τὰς,ὁ,l-p---fa-
Leuven|0062-020|16|14,14,γυναῖκας,γυνή,n-p---fa-
Leuven|0062-020|16|15,15,·,·,u--------
