@ref,@id,@form,@lemma,@postag
Leuven|0062-015|41|1,1,κατ’,κατά,r--------
Leuven|0062-015|41|2,2,ἀντικρὺ,ἀντικρύ,d--------
Leuven|0062-015|41|3,3,δὲ,δέ,b--------
Leuven|0062-015|41|4,4,τῶν,ὁ,l-p---fg-
Leuven|0062-015|41|5,5,γυναικῶν,γυνή,n-p---fg-
Leuven|0062-015|41|6,6,πρῶτος,πρῶτος,a-s---mn-
Leuven|0062-015|41|7,7,ὁ,ὁ,l-s---mn-
Leuven|0062-015|41|8,8,Εὔκριτος,Εὔκριτος,n-s---mn-
Leuven|0062-015|41|9,9,",",",",u--------
Leuven|0062-015|41|10,10,εἶτα,εἶτα,d--------
Leuven|0062-015|41|11,11,Ἀρισταίνετος,Ἀρισταίνετος,n-s---mn-
Leuven|0062-015|41|12,12,.,.,u--------
Leuven|0062-015|41|13,13,[0],,
