@ref,@id,@form,@lemma,@postag
Leuven|0540-024|43|1,1,καίτοι,καίτοι,d--------
Leuven|0540-024|43|2,2,εἰ,εἰ,c--------
Leuven|0540-024|43|3,3,τοῦτο,οὗτος,p-s---na-
Leuven|0540-024|43|4,4,πείσει,πείθω,v3sfia---
Leuven|0540-024|43|5,5,τινὰς,τις,p-p---ca-
Leuven|0540-024|43|6,6,ὑμῶν,σύ,p2p---cg-
Leuven|0540-024|43|7,7,",",",",u--------
Leuven|0540-024|43|8,8,ὦ,ὦ,i--------
Leuven|0540-024|43|9,9,βουλή,βουλή,n-s---fv-
Leuven|0540-024|43|10,10,",",",",u--------
Leuven|0540-024|43|11,11,τί,τίς,p-s---nn-
Leuven|0540-024|43|12,12,με,ἐγώ,p1s---ca-
Leuven|0540-024|43|13,13,κωλύει,κωλύω,v3spia---
Leuven|0540-024|43|14,14,κληροῦσθαι,κληρόω,v--pne---
Leuven|0540-024|43|15,15,τῶν,ὁ,l-p---mg-
Leuven|0540-024|43|16,16,ἐννέα,ἐννέα,m--------
Leuven|0540-024|43|17,17,ἀρχόντων,ἄρχων,n-p---mg-
Leuven|0540-024|43|18,18,",",",",u--------
Leuven|0540-024|43|19,19,καὶ,καί,b--------
Leuven|0540-024|43|20,20,ὑμᾶς,σύ,p2p---ca-
Leuven|0540-024|43|21,21,ἐμοῦ,ἐγώ,p1s---cg-
Leuven|0540-024|43|22,22,μὲν,μέν,d--------
Leuven|0540-024|43|23,23,ἀφελέσθαι,ἀφαιρέω,v--anm---
Leuven|0540-024|43|24,24,τὸν,ὁ,l-s---ma-
Leuven|0540-024|43|25,25,ὀβολὸν,ὀβολός,n-s---ma-
Leuven|0540-024|43|26,26,ὡς,ὡς,d--------
Leuven|0540-024|43|27,27,ὑγιαίνοντος,ὑγιαίνω,v-sppamg-
Leuven|0540-024|43|28,28,",",",",u--------
Leuven|0540-024|43|29,29,τούτῳ,οὗτος,p-s---md-
Leuven|0540-024|43|30,30,δὲ,δέ,b--------
Leuven|0540-024|43|31,31,ψηφίσασθαι,ψηφίζω,v--anm---
Leuven|0540-024|43|32,32,πάντας,πᾶς,a-p---ma-
Leuven|0540-024|43|33,33,ὡς,ὡς,c--------
Leuven|0540-024|43|34,34,ἀναπήρῳ,ἀνάπηρος,a-s---md-
Leuven|0540-024|43|35,35,;,;,u--------
Leuven|0540-024|43|36,36,[0],,
