@ref,@id,@form,@lemma,@postag
Leuven|PaeanBrev|331|1,1,δόγμα,δόγμα,n-s---na-
Leuven|PaeanBrev|331|2,2,τε,τε,c--------
Leuven|PaeanBrev|331|3,3,ἡ,ὁ,l-s---fn-
Leuven|PaeanBrev|331|4,4,σύγκλητος,σύγκλητος,a-s---fn-
Leuven|PaeanBrev|331|5,5,ἐποιήσατο,ποιέω,v3saim---
Leuven|PaeanBrev|331|6,6,μηκέτι,μηκέτι,d--------
Leuven|PaeanBrev|331|7,7,ταῖς,ὁ,l-p---fd-
Leuven|PaeanBrev|331|8,8,κατά,κατά,r--------
Leuven|PaeanBrev|331|9,9,θάλατταν,θάλασσα,n-s---fa-
Leuven|PaeanBrev|331|10,10,χρῆσθαι,χράω,v--pne---
Leuven|PaeanBrev|331|11,11,μάχαις,μάχη,n-p---fd-
Leuven|PaeanBrev|331|12,12,μηδέ,μηδέ,b--------
Leuven|PaeanBrev|331|13,13,ναῦς,ναῦς,n-p---fa-
Leuven|PaeanBrev|331|14,14,ἔχειν,ἔχω,v--pna---
Leuven|PaeanBrev|331|15,15,πλήν,πλήν,r--------
Leuven|PaeanBrev|331|16,16,ἑξήκοντα,ἑξήκοντα,m--------
Leuven|PaeanBrev|331|17,17,",",",",u--------
Leuven|PaeanBrev|331|18,18,φυλακῆς,φυλακή,n-s---fg-
Leuven|PaeanBrev|331|19,19,ἕνεκα,ἕνεκα,r--------
Leuven|PaeanBrev|331|20,20,τῶν,ὁ,l-p---ng-
Leuven|PaeanBrev|331|21,21,Ἰταλῶν,Ἰταλός,a-p---ng-
Leuven|PaeanBrev|331|22,22,ὁρίων,ὅριον,n-p---ng-
Leuven|PaeanBrev|331|23,23,πρός,πρός,r--------
Leuven|PaeanBrev|331|24,24,τάς,ὁ,l-p---fa-
Leuven|PaeanBrev|331|25,25,ἔξωθεν,ἔξωθεν,d--------
Leuven|PaeanBrev|331|26,26,ἐκ,ἐκ,r--------
Leuven|PaeanBrev|331|27,27,θαλάττης,θάλασσα,n-s---fg-
Leuven|PaeanBrev|331|28,28,ἐφόδους,ἔφοδος,n-p---fa-
Leuven|PaeanBrev|331|29,29,.,.,u--------
