@ref,@id,@form,@lemma,@postag
Leuven|27089|11|1,1,εἰ,εἰ,c--------
Leuven|27089|11|2,2,δὲ,δέ,d--------
Leuven|27089|11|3,3,οὔ,οὐ,d--------
Leuven|27089|11|4,4,",",",",u--------
Leuven|27089|11|5,5,ἣν,ὅς,p-s---fa-
Leuven|27089|11|6,6,ἂν,ἄν,d--------
Leuven|27089|11|7,7,δοκιμάσῃς,δοκιμάζω,v2sasa---
Leuven|27089|11|8,8,ταύτην,οὗτος,p-s---fa-
Leuven|27089|11|9,9,καὶ,καί,d--------
Leuven|27089|11|10,10,ἐγὼ,ἐγώ,p1s---cn-
Leuven|27089|11|11,11,θέλω,ἐθέλω,v1spia---
Leuven|27089|11|12,12,.,.,u--------
Leuven|27089|11|13,13,[0],_,_
