@ref,@id,@form,@lemma,@postag
Leuven|0585-001|140|1,1,καὶ,καί,c--------
Leuven|0585-001|140|2,2,ἐν,ἐν,r--------
Leuven|0585-001|140|3,3,Ἀντιοχείᾳ,Ἀντιόχεια,n-s---fd-
Leuven|0585-001|140|4,4,δὲ,δέ,d--------
Leuven|0585-001|140|5,5,τῇ,ὁ,l-s---fd-
Leuven|0585-001|140|6,6,πρὸς,πρός,r--------
Leuven|0585-001|140|7,7,Μαιάνδρῳ,Μαίανδρος,n-s---md-
Leuven|0585-001|140|8,8,ποταμῷ,ποταμός,n-s---md-
Leuven|0585-001|140|9,9,ἐγένετο,γίγνομαι,v3saim---
Leuven|0585-001|140|10,10,ἀνδρόγυνος,ἀνδρόγυνος,n-s---mn-
Leuven|0585-001|140|11,11,",",",",u--------
Leuven|0585-001|140|12,12,ἄρχοντος,ἄρχω,v-sppamg-
Leuven|0585-001|140|13,13,Ἀθήνησιν,Ἀθήνησι,d--------
Leuven|0585-001|140|14,14,Ἀντιπάτρου,Ἀντίπατρος,n-s---mg-
Leuven|0585-001|140|15,15,",",",",u--------
Leuven|0585-001|140|16,16,ὑπατευόντων,ὑπατεύω,v-pppamg-
Leuven|0585-001|140|17,17,ἐν,ἐν,r--------
Leuven|0585-001|140|18,18,Ῥώμῃ,Ῥώμη,n-s---fd-
Leuven|0585-001|140|19,19,Μάρκου,Μάρκος,n-s---mg-
Leuven|0585-001|140|20,20,Βινικίου,Βινικίας,n-s---mg-
Leuven|0585-001|140|21,21,καὶ,καί,c--------
Leuven|0585-001|140|22,22,Τίτου,Τίτος,n-s---mg-
Leuven|0585-001|140|23,23,Στατιλίου,Στατίλιος,n-s---mg-
Leuven|0585-001|140|24,24,Ταύρου,Ταῦρος,n-s---mg-
Leuven|0585-001|140|25,25,",",",",u--------
Leuven|0585-001|140|26,26,τοῦ,ὁ,l-s---mg-
Leuven|0585-001|140|27,27,Κουρβίνου,Κούρβινος,n-s---mg-
Leuven|0585-001|140|28,28,ἐπικληθέντος,ἐπικαλέω,v-sappmg-
Leuven|0585-001|140|29,29,.,.,u--------
