@ref,@id,@form,@lemma,@postag
Leuven|4029-001|101|1,1,αὕτη,οὗτος,p-s---fn-
Leuven|4029-001|101|2,2,γὰρ,γάρ,d--------
Leuven|4029-001|101|3,3,ἂν,ἄν,d--------
Leuven|4029-001|101|4,4,εὐγνωμοσύνη,εὐγνωμοσύνη,n-s---fn-
Leuven|4029-001|101|5,5,ἀκίβδηλος,ἀκίβδηλος,a-s---fn-
Leuven|4029-001|101|6,6,γένοιτο,γίγνομαι,v3saom---
Leuven|4029-001|101|7,7,μόνη,μόνος,a-s---fn-
Leuven|4029-001|101|8,8,ἡ,ὁ,l-s---fn-
Leuven|4029-001|101|9,9,ἐς,εἰς,r--------
Leuven|4029-001|101|10,10,τοὺς,ὁ,l-p---ma-
Leuven|4029-001|101|11,11,ἀποθανόντας,ἀποθνήσκω,v-papama-
Leuven|4029-001|101|12,12,ἐπιδειχθεῖσα,ἐπιδείκνυμι,v-sappfn-
Leuven|4029-001|101|13,13,.,.,u--------
