@ref,@id,@form,@lemma,@postag
Leuven|Ps-Luc|511|1,1,καὶ,καί,d--------
Leuven|Ps-Luc|511|2,2,παῖδες,παῖς,n-p---cn-
Leuven|Ps-Luc|511|3,3,ἡμῖν,ἐγώ,p1p---cd-
Leuven|Ps-Luc|511|4,4,παρειστήκεισαν,παρίστημι,v3plia---
Leuven|Ps-Luc|511|5,5,οἰνοχόοι,οἰνοχόος,n-p---mn-
Leuven|Ps-Luc|511|6,6,καλοὶ,καλός,a-p---mn-
Leuven|Ps-Luc|511|7,7,τὸν,ὁ,l-s---ma-
Leuven|Ps-Luc|511|8,8,οἶνον,οἶνος,n-s---ma-
Leuven|Ps-Luc|511|9,9,ἡμῖν,ἐγώ,p1p---cd-
Leuven|Ps-Luc|511|10,10,χρυσίωι,χρυσίον,n-s---nd-
Leuven|Ps-Luc|511|11,11,διακονούμενοι,διακονέω,v-pppemn-
Leuven|Ps-Luc|511|12,12,.,.,u--------
