@ref,@id,@form,@lemma,@postag
Leuven|0059-00x|5|1,1,νῦν,νῦν,d--------
Leuven|0059-00x|5|2,2,γὰρ,γάρ,d--------
Leuven|0059-00x|5|3,3,ἴσως,ἴσως,d--------
Leuven|0059-00x|5|4,4,οὐκ,οὐ,d--------
Leuven|0059-00x|5|5,5,ὀρθῶς,ὀρθός,d--------
Leuven|0059-00x|5|6,6,ἀκήκοας,ἀκούω,v2sria---
Leuven|0059-00x|5|7,7,",",",",u--------
Leuven|0059-00x|5|8,8,ὥστε,ὥστε,c--------
Leuven|0059-00x|5|9,9,φαίνῃ,φαίνω,v2spie---
Leuven|0059-00x|5|10,10,πρὸς,πρός,r--------
Leuven|0059-00x|5|11,11,ἐμὲ,ἐγώ,p1s---ca-
Leuven|0059-00x|5|12,12,ἔχειν,ἔχω,v--pna---
Leuven|0059-00x|5|13,13,τραχυτέρως,τραχύς,d-------c
Leuven|0059-00x|5|14,14,τοῦ,ὁ,l-s---ng-
Leuven|0059-00x|5|15,15,δέοντος,δέω,v-sppang-
Leuven|0059-00x|5|16,16,·,·,u--------
