@ref,@id,@form,@lemma,@postag
Leuven|0093-009|254|1,1,καὶ,καί,c--------
Leuven|0093-009|254|2,2,τῷ,ὁ,l-s---md-
Leuven|0093-009|254|3,3,Διὶ,Ζεύς,n-s---md-
Leuven|0093-009|254|4,4,ἀγανακτεῖν,ἀγανακτέω,v--pna---
Leuven|0093-009|254|5,5,",",",",u--------
Leuven|0093-009|254|6,6,οὐ,οὐ,d--------
Leuven|0093-009|254|7,7,διότι,διότι,c--------
Leuven|0093-009|254|8,8,ὕει,ὕω,v3spia---
Leuven|0093-009|254|9,9,",",",",u--------
Leuven|0093-009|254|10,10,ἀλλὰ,ἀλλά,c--------
Leuven|0093-009|254|11,11,διότι,διότι,c--------
Leuven|0093-009|254|12,12,ὕστερον,ὕστερον,a-s---na-
Leuven|0093-009|254|13,13,.,.,u--------
Leuven|0093-009|254|14,14,[0],,
Leuven|0093-009|254|15,15,[1],,
