@ref,@id,@form,@lemma,@postag
Leuven|0032-002|781|1,1,ἀλλὰ,ἀλλά,c--------
Leuven|0032-002|781|2,2,θαρρῶν,θαρσέω,v-sppamn-
Leuven|0032-002|781|3,3,",",",",u--------
Leuven|0032-002|781|4,4,ἔφη,φημί,v3siia---
Leuven|0032-002|781|5,5,",",",",u--------
Leuven|0032-002|781|6,6,ὦ,ὦ,i--------
Leuven|0032-002|781|7,7,Κριτόβουλε,Κριτόβουλος,n-s---mv-
Leuven|0032-002|781|8,8,",",",",u--------
Leuven|0032-002|781|9,9,πειρῶ,πειράω,v1spia---
Leuven|0032-002|781|10,10,ἀγαθὸς,ἀγαθός,a-s---mn-
Leuven|0032-002|781|11,11,γίγνεσθαι,γίγνομαι,v--pne---
Leuven|0032-002|781|12,12,",",",",u--------
Leuven|0032-002|781|13,13,καὶ,καί,c--------
Leuven|0032-002|781|14,14,τοιοῦτος,τοιοῦτος,p-s---mn-
Leuven|0032-002|781|15,15,γενόμενος,γίγνομαι,v-sapmmn-
Leuven|0032-002|781|16,16,θηρᾶν,θηράω,v--pna---
Leuven|0032-002|781|17,17,ἐπιχείρει,ἐπιχειρέω,v2spma---
Leuven|0032-002|781|18,18,τοὺς,ὁ,l-p---ma-
Leuven|0032-002|781|19,19,καλούς,καλός,a-p---ma-
Leuven|0032-002|781|20,20,τε,τε,c--------
Leuven|0032-002|781|21,21,κἀγαθούς,ἀγαθός,a-p---ma-
Leuven|0032-002|781|22,22,.,.,u--------
Leuven|0032-002|781|23,23,.,.,u--------
