@ref,@id,@form,@lemma,@postag,@relation
Leuven|0058-001|71|1,1,ὅταν,ὅταν,c--------,AuxC
Leuven|0058-001|71|2,2,δὲ,δέ,d--------,AuxY
Leuven|0058-001|71|3,3,ἡ,ὁ,l-s---fn-,ATR
Leuven|0058-001|71|4,4,χώρα,χώρα,n-s---fn-,SBJ
Leuven|0058-001|71|5,5,ἐγκάρπως,ἔγκαρπος,d--------,ADV
Leuven|0058-001|71|6,6,διακέηται,διάκειμαι,v3spse---,ADV
Leuven|0058-001|71|7,7,μὴ,μή,d--------,AuxZ
Leuven|0058-001|71|8,8,πόρρω,πρόσω,d--------,PNOM
Leuven|0058-001|71|9,9,ὄντων,εἰμί,v-pppamg-,ADV
Leuven|0058-001|71|10,10,πολεμίων,πολέμιος,a-p---mg-,SBJ
Leuven|0058-001|71|11,11,",",",",u--------,AuxX
Leuven|0058-001|71|12,12,εἰκὸς,ἔοικα,v-srpann-,PNOM
Leuven|0058-001|71|13,13,πολλοὺς,πολύς,a-p---ma-,SBJ
Leuven|0058-001|71|14,14,τῶν,ὁ,l-p---mg-,ATR
Leuven|0058-001|71|15,15,ἐν,ἐν,r--------,AuxP
Leuven|0058-001|71|16,16,τῇ,ὁ,l-s---fd-,ATR
Leuven|0058-001|71|17,17,πόλει,πόλις,n-s---fd-,ATR
Leuven|0058-001|71|18,18,περὶ,περί,r--------,AuxP
Leuven|0058-001|71|19,19,τοὺς,ὁ,l-p---ma-,ATR
Leuven|0058-001|71|20,20,ἐγγὺς,ἐγγύς,d--------,ATR
Leuven|0058-001|71|21,21,χώρους,χῶρος,n-p---ma-,ADV
Leuven|0058-001|71|22,22,διατελεῖν,διατελέω,v--pna---,SBJ
Leuven|0058-001|71|23,23,",",",",u--------,AuxX
Leuven|0058-001|71|24,24,γλιχομένους,γλίχομαι,v-pppema-,ADV
Leuven|0058-001|71|25,25,τοῦ,ὁ,l-s---mg-,ATR
Leuven|0058-001|71|26,26,καρποῦ,καρπός,n-s---mg-,OBJ
Leuven|0058-001|71|27,27,.,.,u--------,AuxK
Leuven|0058-001|71|28,28,[0],,,PRED
