@ref,@id,@form,@lemma,@postag,@relation
Leuven|0096-00#|1284|1,1,ἄν,ἐάν,c--------,AuxC
Leuven|0096-00#|1284|2,2,δέ,δέ,d--------,AuxY
Leuven|0096-00#|1284|3,3,πείθωνται,πείθω,v3ppse---,ADV
Leuven|0096-00#|1284|4,4,μετά,μετά,r--------,AuxP
Leuven|0096-00#|1284|5,5,λόγου,λόγος,n-s---mg-,ADV
Leuven|0096-00#|1284|6,6,",",",",u--------,AuxX
Leuven|0096-00#|1284|7,7,πρᾴως,πρᾶος,d--------,ADV
Leuven|0096-00#|1284|8,8,ἀποτίθενται,ἀποτίθημι,v3ppie---,PRED_CO
Leuven|0096-00#|1284|9,9,καί,καί,b--------,COORD
Leuven|0096-00#|1284|10,10,μετριάζουσιν,μετριάζω,v3ppia---,PRED_CO
Leuven|0096-00#|1284|11,11,.,.,u--------,AuxK
