@ref,@id,@form,@lemma,@postag,@relation
Leuven|0554-001|134|1,1,ἔτι,ἔτι,d--------,ADV
Leuven|0554-001|134|2,2,δὲ,δέ,b--------,AuxY
Leuven|0554-001|134|3,3,καομένων,καίω,v-pppefg-,ADV_CO
Leuven|0554-001|134|4,4,καὶ,καί,b--------,COORD
Leuven|0554-001|134|5,5,τεμνομένων,τέμνω,v-pppefg-,ADV_CO
Leuven|0554-001|134|6,6,αὐτῶν,αὐτός,p-p---fg-,SBJ
Leuven|0554-001|134|7,7,ἔμαθε,μανθάνω,v3saia---,PRED
Leuven|0554-001|134|8,8,τὴν,ὁ,l-s---fa-,ATR
Leuven|0554-001|134|9,9,ἀλήθειαν,ἀλήθεια,n-s---fa-,OBJ
Leuven|0554-001|134|10,10,.,.,u--------,AuxK
