@ref,@id,@form,@lemma,@postag,@relation
Leuven|0041-001|156|1,1,τὸ,ὁ,l-s---nn-,ATR
Leuven|0041-001|156|2,2,μὲν,μέν,d--------,AuxY
Leuven|0041-001|156|3,3,γὰρ,γάρ,d--------,AuxY
Leuven|0041-001|156|4,4,ἡμέτερον,ἡμέτερος,a-s---nn-,ATR
Leuven|0041-001|156|5,5,ἀσφαλὲς,ἀσφαλής,a-s---nn-,SBJ
Leuven|0041-001|156|6,6,οὐκ,οὐ,d--------,AuxZ
Leuven|0041-001|156|7,7,ἐπὶ,ἐπί,r--------,AuxP
Leuven|0041-001|156|8,8,Κλεάρχῳ,Κλέαρχος,n-s---md-,PNOM
Leuven|0041-001|156|9,9,ἐστίν,εἰμί,v3spia---,PRED
Leuven|0041-001|156|10,10,.,.,u--------,AuxK
