@ref,@id,@form,@lemma,@postag,@relation
Leuven|0041-001|74|1,1,ἴσθι,εἰμί,v2spma---,PRED
Leuven|0041-001|74|2,2,οὖν,οὖν,d--------,AuxY
Leuven|0041-001|74|3,3,",",",",u--------,AuxX
Leuven|0041-001|74|4,4,ὅτι,ὅτι,c--------,AuxC
Leuven|0041-001|74|5,5,πάντων,πᾶς,a-p---mg-,ATR
Leuven|0041-001|74|6,6,μὲν,μέν,d--------,AuxY
Leuven|0041-001|74|7,7,ποιεῖται,ποιέω,v3spie---,OBJ_CO
Leuven|0041-001|74|8,8,λόγον,λόγος,n-s---ma-,OBJ
Leuven|0041-001|74|9,9,τῶν,ὁ,l-p---mg-,ATR
Leuven|0041-001|74|10,10,καὶ,καί,d--------,AuxZ
Leuven|0041-001|74|11,11,μίαν,εἷς,m-s---fa-,ATR
Leuven|0041-001|74|12,12,ἡμέραν,ἡμέρα,n-s---fa-,ADV
Leuven|0041-001|74|13,13,ὁμιλησάντων,ὁμιλέω,v-papamg-,ATR
Leuven|0041-001|74|14,14,Σωκράτει,Σωκράτης,n-s---md-,OBJ
Leuven|0041-001|74|15,15,",",",",u--------,AuxX
Leuven|0041-001|74|16,16,οὐδενὶ,οὐδείς,p-s---nd-,OBJ
Leuven|0041-001|74|17,17,δ’,δέ,d--------,COORD
Leuven|0041-001|74|18,18,οὕτως,οὕτως,d--------,ADV
Leuven|0041-001|74|19,19,αὑτὸν,ἑαυτοῦ,p-s---ma-,OBJ
Leuven|0041-001|74|20,20,οἰκειοῖ,οἰκειόω,v3spia---,OBJ_CO
Leuven|0041-001|74|21,21,",",",",u--------,AuxX
Leuven|0041-001|74|22,22,ὡς,ὡς,c--------,AuxC
Leuven|0041-001|74|23,23,τῷ,ὁ,l-s---md-,ATR
Leuven|0041-001|74|24,24,μάλιστα,μάλα,d-------s,ADV
Leuven|0041-001|74|25,25,ἀπολαύειν,ἀπολαύω,v--pna---,OBJ
Leuven|0041-001|74|26,26,αὐτοῦ,αὐτός,p-s---mg-,OBJ
Leuven|0041-001|74|27,27,δυναμένῳ,δύναμαι,v-sppemd-,OBJ
Leuven|0041-001|74|28,28,.,.,u--------,AuxK
"""""",29,[0],"""""","""""",PRED
