@ref,@id,@form,@lemma,@postag,@relation
Leuven|0059-003|40|1,1,καίτοι,καίτοι,d--------,AuxY
Leuven|0059-003|40|2,2,τίς,τίς,p-s---cn-,ATR
Leuven|0059-003|40|3,3,ἂν,ἄν,d--------,AuxY
Leuven|0059-003|40|4,4,αἰσχίων,αἰσχρός,a-s---fnc,PNOM
Leuven|0059-003|40|5,5,εἴη,εἰμί,v3spoa---,PRED
Leuven|0059-003|40|6,6,ταύτης,οὗτος,p-s---fg-,ADV
Leuven|0059-003|40|7,7,δόξα,δόξα,n-s---fn-,SBJ
Leuven|0059-003|40|8,8,ἢ,ἤ,c--------,AuxC
Leuven|0059-003|40|9,9,δοκεῖν,δοκέω,v--pna---,APOS
Leuven|0059-003|40|10,10,χρήματα,χρῆμα,n-p---na-,OBJ
Leuven|0059-003|40|11,11,περὶ,περί,r--------,AuxP
Leuven|0059-003|40|12,12,πλείονος,πολύς,a-s---ngc,ADV
Leuven|0059-003|40|13,13,ποιεῖσθαι,ποιέω,v--pne---,OBJ
Leuven|0059-003|40|14,14,ἢ,ἤ,c--------,AuxC
Leuven|0059-003|40|15,15,φίλους,φίλος,a-p---ma-,OBJ
Leuven|0059-003|40|16,16,;,;,u--------,AuxK
Leuven|0059-003|40|17,17,[0],,,ADV
