@ref,@id,@form,@lemma,@postag,@relation
Leuven|0557-001|151|1,1,τί,τίς,p-s---nn-,OBJ
Leuven|0557-001|151|2,2,γάρ,γάρ,d--------,AuxY
Leuven|0557-001|151|3,3,ἄλλο,ἄλλος,p-s---nn-,ATR
Leuven|0557-001|151|4,4,ἤ,ἤ,c--------,AuxC
Leuven|0557-001|151|5,5,διαπρέπει,διαπρέπω,v3spia---,OBJ_CO
Leuven|0557-001|151|6,6,ἐν,ἐν,r--------,AuxP
Leuven|0557-001|151|7,7,αὐτῷ,αὐτός,p-s---md-,ADV
Leuven|0557-001|151|8,8,ὡς,ὡς,c--------,AuxC
Leuven|0557-001|151|9,9,πορφύρα,πορφύρα,n-s---fn-,SBJ
Leuven|0557-001|151|10,10,καί,καί,c--------,COORD
Leuven|0557-001|151|11,11,τοῖς,ὁ,l-p---md-,ATR
Leuven|0557-001|151|12,12,ἄλλοις,ἄλλος,p-p---md-,OBJ
Leuven|0557-001|151|13,13,δέ,δέ,d--------,AuxY
Leuven|0557-001|151|14,14,καλόν,καλός,a-s---nn-,ATR
Leuven|0557-001|151|15,15,παράδειγμα,παράδειγμα,n-s---nn-,OCOMP
Leuven|0557-001|151|16,16,ἔκκειται,ἔκκειμαι,v3spie---,OBJ_CO
Leuven|0557-001|151|17,17,;,;,u--------,AuxK
Leuven|0557-001|151|18,18,[0],,,PRED
Leuven|0557-001|151|19,19,[1],,,ADV
