@ref,@id,@form,@lemma,@postag,@relation
Leuven|0537-012|29|1,1,ὁ,ὁ,l-s---mn-,ATR
Leuven|0537-012|29|2,2,δέ,δέ,d--------,AuxY
Leuven|0537-012|29|3,3,σοφός,σοφός,a-s---mn-,SBJ
Leuven|0537-012|29|4,4,οὔτε,οὔτε,c--------,AuxY
Leuven|0537-012|29|5,5,παραιτεῖται,παραιτέομαι,v3spie---,PRED_CO
Leuven|0537-012|29|6,6,τό,ὁ,l-s---nn-,ATR
Leuven|0537-012|29|7,7,ζῆν,ζάω,v--pna---,OBJ
Leuven|0537-012|29|8,8,οὔτε,οὔτε,c--------,COORD
Leuven|0537-012|29|9,9,φοβεῖται,φοβεῖτημι,v3saom---,PRED_CO
Leuven|0537-012|29|10,10,τὸ,ὁ,---------,ATR
Leuven|0537-012|29|11,11,μή,μή,d--------,AuxZ
Leuven|0537-012|29|12,12,ζῆν,ζάω,v--pna---,OBJ
Leuven|0537-012|29|13,13,·,·,u--------,AuxK
