@ref,@id,@form,@lemma,@postag,@relation
Leuven|Genesis_deel3|7|1,1,καί,καί,c--------,AuxY
Leuven|Genesis_deel3|7|2,2,ἔφαγον,ἐσθίω,v3paia---,PRED_CO
Leuven|Genesis_deel3|7|3,3,καί,καί,c--------,AuxY
Leuven|Genesis_deel3|7|4,4,ἔπιον,πίνω,v3paia---,PRED_CO
Leuven|Genesis_deel3|7|5,5,",",",",u--------,AuxX
Leuven|Genesis_deel3|7|6,6,αὐτός,αὐτός,p-s---mn-,SBJ_CO
Leuven|Genesis_deel3|7|7,7,καί,καί,c--------,COORD
Leuven|Genesis_deel3|7|8,8,οἱ,ὁ,l-p---mn-,ATR
Leuven|Genesis_deel3|7|9,9,ἄνδρες,ἀνήρ,n-p---mn-,SBJ_CO
Leuven|Genesis_deel3|7|10,10,οἱ,ὁ,l-p---mn-,ATR
Leuven|Genesis_deel3|7|11,11,μετʼ,μετά,r--------,AuxP
Leuven|Genesis_deel3|7|12,12,αὐτοῦ,αὐτός,p-s---mg-,PNOM
Leuven|Genesis_deel3|7|13,13,ὄντες,εἰμί,v-pppamn-,ATR
Leuven|Genesis_deel3|7|14,14,",",",",u--------,AuxX
Leuven|Genesis_deel3|7|15,15,καί,καί,c--------,COORD
Leuven|Genesis_deel3|7|16,16,ἐκοιμήθησαν,κοιμάω,v3paip---,PRED_CO
Leuven|Genesis_deel3|7|17,17,.,.,u--------,AuxK
