@ref,@id,@form,@lemma,@postag,@relation
Leuven|0559-002|378|1,1,ὅταν,ὅταν,c--------,AuxC
Leuven|0559-002|378|2,2,εἰληθῇ,εἰλέω,v3sasp---,ADV_CO
Leuven|0559-002|378|3,3,καλῶς,καλός,d--------,ADV
Leuven|0559-002|378|4,4,εἰς,εἰς,r--------,AuxP
Leuven|0559-002|378|5,5,τὸ,ὁ,l-s---na-,ATR
Leuven|0559-002|378|6,6,ἄνω,ἄνω,d--------,ATR
Leuven|0559-002|378|7,7,μέρος,μέρος,n-s---na-,OBJ
Leuven|0559-002|378|8,8,καὶ,καί,b--------,COORD
Leuven|0559-002|378|9,9,τεθῇ,τίθημι,v3sasp---,ADV_CO
Leuven|0559-002|378|10,10,ὑπὸ,ὑπό,r--------,AuxP
Leuven|0559-002|378|11,11,τὴν,ὁ,l-s---fa-,ATR
Leuven|0559-002|378|12,12,πλευρὰν,πλευρά,n-s---fa-,OBJ
Leuven|0559-002|378|13,13,τοῦ,ὁ,l-s---ng-,ATR
Leuven|0559-002|378|14,14,πλινθίου,πλινθίον,n-s---ng-,ATR
Leuven|0559-002|378|15,15,",",",",u--------,AuxX
Leuven|0559-002|378|16,16,ὑποκάτω,ὑποκάτω,r--------,AuxP
Leuven|0559-002|378|17,17,τοῦ,ὁ,l-s---ng-,ATR
Leuven|0559-002|378|18,18,εἰλήματος,εἴλημα,n-s---ng-,ADV
Leuven|0559-002|378|19,19,παρ’,παρά,r--------,AuxP
Leuven|0559-002|378|20,20,αὐτῷ,αὐτός,p-s---nd-,ADV
Leuven|0559-002|378|21,21,ἐτρυπήθη,τρυπάω,v3saip---,PRED_CO
Leuven|0559-002|378|22,22,εἰς,εἰς,r--------,AuxP
Leuven|0559-002|378|23,23,τὸ,ὁ,l-s---na-,ATR
Leuven|0559-002|378|24,24,ἔδαφος,ἔδαφος,n-s---na-,OBJ
Leuven|0559-002|378|25,25,τοῦ,ὁ,l-s---mg-,ATR
Leuven|0559-002|378|26,26,πίνακος,πίναξ,n-s---mg-,ATR
Leuven|0559-002|378|27,27,",",",",u--------,AuxX
Leuven|0559-002|378|28,28,καὶ,καί,b--------,COORD
Leuven|0559-002|378|29,29,ὠθήθη,ὀθέω,v3saip---,PRED_CO
Leuven|0559-002|378|30,30,διὰ,διά,r--------,AuxP
Leuven|0559-002|378|31,31,τοῦ,ὁ,l-s---ng-,ATR
Leuven|0559-002|378|32,32,τρυπήματος,τρύπημα,n-s---ng-,ADV
Leuven|0559-002|378|33,33,ἐκ,ἐκ,r--------,AuxP
Leuven|0559-002|378|34,34,τοῦ,ὁ,l-s---ng-,ATR
Leuven|0559-002|378|35,35,ὄπισθεν,ὄπισθεν,d--------,ATR
Leuven|0559-002|378|36,36,μέρους,μέρος,n-s---ng-,ADV
Leuven|0559-002|378|37,37,τοῦ,ὁ,l-s---mg-,ATR
Leuven|0559-002|378|38,38,πίνακος,πίναξ,n-s---mg-,ATR
Leuven|0559-002|378|39,39,εἰς,εἰς,r--------,AuxP
Leuven|0559-002|378|40,40,τὸ,ὁ,l-s---na-,ATR
Leuven|0559-002|378|41,41,ἔμπροσθεν,ἔμπροσθεν,d--------,ATR
Leuven|0559-002|378|42,42,μέρος,μέρος,n-s---na-,ADV
Leuven|0559-002|378|43,43,ἀγκύλη,ἀγκύλη,n-s---fn-,SBJ
Leuven|0559-002|378|44,44,σπάρτου,σπάρτος,n-s---fg-,ATR
Leuven|0559-002|378|45,45,",",",",u--------,AuxX
Leuven|0559-002|378|46,46,ἕως,ἕως,r--------,AuxC
Leuven|0559-002|378|47,47,μὲν,μέν,d--------,AuxY
Leuven|0559-002|378|48,48,προεῖχε,προέχω,v3siia---,ADV_CO
Leuven|0559-002|378|49,49,σύμμετρόν,σύμμετρος,a-s---na-,ATR
Leuven|0559-002|378|50,50,τι,τις,p-s---na-,ATR
Leuven|0559-002|378|51,51,διάστημα,διάστημα,n-s---na-,SBJ
Leuven|0559-002|378|52,52,καὶ,καί,b--------,COORD
Leuven|0559-002|378|53,53,ἐπιούρῳ,ἐπίουρος,n-s---md-,ADV
Leuven|0559-002|378|54,54,ἀποληφθῇ,ἀπολαμβάνω,v3sasp---,ADV_CO
Leuven|0559-002|378|55,55,ἀραρότως,ἀραρότως,d--------,ADV
Leuven|0559-002|378|56,56,.,.,u--------,AuxK
