@ref,@id,@form,@lemma,@postag,@relation
Leuven|0010-020|1|1,1,ἐγὼ,ἐγώ,p1s---cn-,SBJ
Leuven|0010-020|1|2,2,διελέχθην,διαλέγω,v1saip---,PRED_CO
Leuven|0010-020|1|3,3,μὲν,μέν,d--------,AuxY
Leuven|0010-020|1|4,4,καὶ,καί,d--------,AuxZ
Leuven|0010-020|1|5,5,πρὸς,πρός,r--------,AuxP
Leuven|0010-020|1|6,6,Ἀντίπατρον,Ἀντίπατρος,n-s---ma-,OBJ
Leuven|0010-020|1|7,7,περί,περί,r--------,AuxP
Leuven|0010-020|1|8,8,τε,τε,b--------,AuxY
Leuven|0010-020|1|9,9,τῶν,ὁ,l-p---ng-,ATR
Leuven|0010-020|1|10,10,τῇ,ὁ,l-s---fd-,ATR
Leuven|0010-020|1|11,11,πόλει,πόλις,n-s---fd-,ADV_CO
Leuven|0010-020|1|12,12,καὶ,καί,b--------,COORD
Leuven|0010-020|1|13,13,τῶν,ὁ,l-p---ng-,ATR
Leuven|0010-020|1|14,14,σοὶ,σύ,p2s---cd-,ADV_CO
Leuven|0010-020|1|15,15,συμφερόντων,συμφέρω,v-pppang-,ADV_CO
Leuven|0010-020|1|16,16,ἐξαρκούντως,ἐξαρκούντως,d--------,ADV
Leuven|0010-020|1|17,17,",",",",u--------,AuxX
Leuven|0010-020|1|18,18,ὡς,ὡς,c--------,AuxC
Leuven|0010-020|1|19,19,ἐμαυτὸν,ἐμαυτοῦ,p1s---ma-,OBJ
Leuven|0010-020|1|20,20,ἔπειθον,πείθω,v1siia---,ADV
Leuven|0010-020|1|21,21,",",",",u--------,AuxX
Leuven|0010-020|1|22,22,ἠβουλήθην,βούλομαι,v1saip---,PRED_CO
Leuven|0010-020|1|23,23,δὲ,δέ,b--------,AuxY
Leuven|0010-020|1|24,24,καὶ,καί,b--------,COORD
Leuven|0010-020|1|25,25,πρὸς,πρός,r--------,AuxP
Leuven|0010-020|1|26,26,σὲ,σύ,p2s---ca-,OBJ
Leuven|0010-020|1|27,27,γράψαι,γράφω,v--ana---,OBJ
Leuven|0010-020|1|28,28,περὶ,περί,r--------,AuxP
Leuven|0010-020|1|29,29,ὧν,ὅς,p-p---ng-,ADV
Leuven|0010-020|1|30,30,μοι,ἐγώ,p1s---cd-,OBJ
Leuven|0010-020|1|31,31,δοκεῖ,δοκέω,v3spia---,ADV
Leuven|0010-020|1|32,32,πρακτέον,πράσσω,a-s---na-,PNOM
Leuven|0010-020|1|33,33,εἶναι,εἰμί,v--pna---,OBJ
Leuven|0010-020|1|34,34,μετὰ,μετά,r--------,AuxP
Leuven|0010-020|1|35,35,τὴν,ὁ,l-s---fa-,ATR
Leuven|0010-020|1|36,36,εἰρήνην,εἰρήνη,n-s---fa-,ADV
Leuven|0010-020|1|37,37,",",",",u--------,AuxX
Leuven|0010-020|1|38,38,παραπλήσια,παραπλήσιος,a-p---na-,OBJ
Leuven|0010-020|1|39,39,μὲν,μέν,d--------,AuxY
Leuven|0010-020|1|40,40,τοῖς,ὁ,l-p---nd-,ATR
Leuven|0010-020|1|41,41,ἐν,ἐν,r--------,AuxP
Leuven|0010-020|1|42,42,τῷ,ὁ,l-s---md-,ATR
Leuven|0010-020|1|43,43,λόγῳ,λόγος,n-s---md-,ADV
Leuven|0010-020|1|44,44,γεγραμμένοις,γράφω,v-prpend-,ADV
Leuven|0010-020|1|45,45,",",",",u--------,AuxX
Leuven|0010-020|1|46,46,πολὺ,πολύς,a-s---na-,ADV
Leuven|0010-020|1|47,47,δ’,δέ,b--------,AuxY
Leuven|0010-020|1|48,48,ἐκείνων,ἐκεῖνος,p-p---ng-,ATR
Leuven|0010-020|1|49,49,συντομώτερα,σύντομος,a-p---nac,OBJ
Leuven|0010-020|1|50,50,.,.,u--------,AuxK
