@ref,@id,@form,@lemma,@postag,@relation
Leuven|2003-001|30|1,1,οἱ,ὁ,l-p---mn-,SBJ
Leuven|2003-001|30|2,2,μέν,μέν,d--------,AuxY
Leuven|2003-001|30|3,3,γάρ,γάρ,d--------,AuxY
Leuven|2003-001|30|4,4,ἐπί,ἐπί,r--------,AuxP
Leuven|2003-001|30|5,5,τῶν,ὁ,l-p---fg-,ATR
Leuven|2003-001|30|6,6,πράξεων,πρᾶξις,n-p---fg-,ADV
Leuven|2003-001|30|7,7,ἵστανται,ἵστημι,v3ppie---,PRED_CO
Leuven|2003-001|30|8,8,",",",",u--------,AuxX
Leuven|2003-001|30|9,9,ἀποχρῆν,ἀποχράω,v--pna---,OBJ
Leuven|2003-001|30|10,10,οἰόμενοι,οἴομαι,v-pppemn-,ADV
Leuven|2003-001|30|11,11,πρός,πρός,r--------,AuxP
Leuven|2003-001|30|12,12,τήν,ὁ,l-s---fa-,ATR
Leuven|2003-001|30|13,13,τελείαν,τέλειος,a-s---fa-,ATR
Leuven|2003-001|30|14,14,εὐφημίαν,εὐφημία,n-s---fa-,ADV
Leuven|2003-001|30|15,15,τό,ὁ,l-s---na-,ATR
Leuven|2003-001|30|16,16,τούτων,οὗτος,p-p---fg-,OBJ
Leuven|2003-001|30|17,17,μνησθῆναι,μιμνήσκω,v--anp---,SBJ
Leuven|2003-001|30|18,18,",",",",u--------,AuxX
Leuven|2003-001|30|19,19,ἐγώ,ἐγώ,p1s---cn-,SBJ
Leuven|2003-001|30|20,20,δέ,δέ,d--------,COORD
Leuven|2003-001|30|21,21,οἶμαι,οἴομαι,v1spie---,PRED_CO
Leuven|2003-001|30|22,22,δεῖν,δεῖ,v--pna---,OBJ
Leuven|2003-001|30|23,23,περί,περί,r--------,AuxP
Leuven|2003-001|30|24,24,τῶν,ὁ,l-p---fg-,ATR
Leuven|2003-001|30|25,25,ἀρετῶν,ἀρετή,n-p---fg-,OCOMP
Leuven|2003-001|30|26,26,τόν,ὁ,l-s---ma-,ATR
Leuven|2003-001|30|27,27,πλεῖστον,πλεῖστος,a-s---ma-,ATR
Leuven|2003-001|30|28,28,λόγον,λόγος,n-s---ma-,OBJ
Leuven|2003-001|30|29,29,ποιήσασθαι,ποιέω,v--anm---,SBJ
Leuven|2003-001|30|30,30,",",",",u--------,AuxX
Leuven|2003-001|30|31,31,ἀφʼ,ἀπό,r--------,AuxP
Leuven|2003-001|30|32,32,ὧν,ὅς,p-p---fg-,ADV
Leuven|2003-001|30|33,33,ὁρμώμενος,ὁρμάω,v-sppemn-,ADV
Leuven|2003-001|30|34,34,ἐπί,ἐπί,r--------,AuxP
Leuven|2003-001|30|35,35,τοσοῦτον,τοσοῦτο,a-s---ma-,OBJ
Leuven|2003-001|30|36,36,τῶν,ὁ,l-p---ng-,ATR
Leuven|2003-001|30|37,37,κατορθωμάτων,κατόρθωμα,n-p---ng-,ATR
Leuven|2003-001|30|38,38,ἦλθες,ἔρχομαι,v2saia---,ATR
Leuven|2003-001|30|39,39,.,.,u--------,AuxK
