@ref,@id,@form,@lemma,@postag,@relation
Leuven|0561-001|13|1,1,χλαμύδιον,χλαμύδιον,n-s---nn-,SBJ_CO
Leuven|0561-001|13|2,2,τε,τε,c--------,AuxY
Leuven|0561-001|13|3,3,γάρ,γάρ,d--------,AuxY
Leuven|0561-001|13|4,4,ἦν,εἰμί,v3siia---,PRED
Leuven|0561-001|13|5,5,ἁλουργές,ἁλουργής,a-s---nn-,ATR
Leuven|0561-001|13|6,6,καί,καί,b--------,COORD
Leuven|0561-001|13|7,7,πόρπη,πόρπη,n-s---fn-,SBJ_CO
Leuven|0561-001|13|8,8,χρυσῆ,χρύσεος,a-s---fn-,ATR
Leuven|0561-001|13|9,9,καί,καί,b--------,AuxY
Leuven|0561-001|13|10,10,ξιφίδιον,ξιφίδιον,n-s---nn-,SBJ_CO
Leuven|0561-001|13|11,11,ἐλεφαντόκωπον,ἐλεφαντόκωπος,a-s---nn-,ATR
Leuven|0561-001|13|12,12,.,.,u--------,AuxK
Leuven|0561-001|13|13,13,[0],,,PRED
