@ref,@id,@form,@lemma,@postag,@relation
Leuven|0062-014|17|1,1,ὅθεν,ὅθεν,d--------,ADV_CO
Leuven|0062-014|17|2,2,δὲ,δέ,d--------,AuxY
Leuven|0062-014|17|3,3,καὶ,καί,b--------,COORD
Leuven|0062-014|17|4,4,ἀπὸ,ἀπό,r--------,AuxP
Leuven|0062-014|17|5,5,τίνων,τίς,p-p---ng-,ADV_CO
Leuven|0062-014|17|6,6,ἀρξάμενον,ἄρχω,v-sapmna-,OBJ
Leuven|0062-014|17|7,7,",",",",u--------,AuxX
Leuven|0062-014|17|8,8,ὥρα,ὥρα,n-d---fn-,SBJ
Leuven|0062-014|17|9,9,λέγειν,λέγω,v--pna---,ADV
Leuven|0062-014|17|10,10,.,.,u--------,AuxK
Leuven|0062-014|17|11,11,[1],,,PRED
