@ref,@id,@form,@lemma,@postag,@relation
Leuven|0062-020|36|1,1,καί,καί,d--------,AuxY
Leuven|0062-020|36|2,2,μοι,ἐγώ,p1s---cd-,OBJ
Leuven|0062-020|36|3,3,δοκεῖς,δοκέω,v2spia---,PRED
Leuven|0062-020|36|4,4,",",",",u--------,AuxX
Leuven|0062-020|36|5,5,ὦ,ὦ,i--------,AuxZ
Leuven|0062-020|36|6,6,βέλτιστε,ἀγαθός,a-s---mvs,ExD
Leuven|0062-020|36|7,7,",",",",u--------,AuxX
Leuven|0062-020|36|8,8,μὴ,μή,d--------,AuxZ
Leuven|0062-020|36|9,9,συνιέναι,συνίημι,v--pna---,OBJ
Leuven|0062-020|36|10,10,ἐπὶ,ἐπί,r--------,AuxP
Leuven|0062-020|36|11,11,τοῖς,ὁ,l-p---nd-,ATR
Leuven|0062-020|36|12,12,τηλικούτοις,τηλικοῦτος,p-p---nd-,ADV
Leuven|0062-020|36|13,13,πάνυ,πάνυ,d--------,ADV
Leuven|0062-020|36|14,14,φιλανθρώπου,φιλάνθρωπος,a-s---mg-,ATR
Leuven|0062-020|36|15,15,τοῦ,ὁ,l-s---mg-,ATR
Leuven|0062-020|36|16,16,Διὸς,Ζεύς,n-s---mg-,OBJ
Leuven|0062-020|36|17,17,πεπειραμένος,πειράω,v-srpemn-,ADV
Leuven|0062-020|36|18,18,.,.,u--------,AuxK
