@ref,@id,@form,@lemma,@postag,@relation
Leuven|0062-015|99|1,1,ἐδείκνυ,δείκνυμι,v3siia---,PRED
Leuven|0062-015|99|2,2,δὲ,δέ,d--------,AuxY
Leuven|0062-015|99|3,3,καὶ,καί,b--------,AuxY
Leuven|0062-015|99|4,4,σημεῖα,σημεῖον,n-p---na-,OBJ_CO
Leuven|0062-015|99|5,5,τῶν,ὁ,l-p---fg-,ATR
Leuven|0062-015|99|6,6,πληγῶν,πληγή,n-p---fg-,ATR
Leuven|0062-015|99|7,7,καὶ,καί,b--------,COORD
Leuven|0062-015|99|8,8,ἀμυχάς,ἀμυχή,n-p---fa-,OBJ_CO
Leuven|0062-015|99|9,9,τινας,τις,p-p---ca-,ATR
Leuven|0062-015|99|10,10,ἐπὶ,ἐπί,r--------,AuxP
Leuven|0062-015|99|11,11,τοῦ,ὁ,l-s---ng-,ATR
Leuven|0062-015|99|12,12,προσώπου,πρόσωπον,n-s---ng-,ADV
Leuven|0062-015|99|13,13,.,.,u--------,AuxK
