@ref,@id,@form,@lemma,@postag,@relation
Leuven|0540-024|53|1,1,οἱ,ὁ,l-p---mn-,ATR
Leuven|0540-024|53|2,2,μὲν,μέν,d--------,AuxY
Leuven|0540-024|53|3,3,γὰρ,γάρ,d--------,AuxY
Leuven|0540-024|53|4,4,πλούσιοι,πλούσιος,a-p---mn-,SBJ
Leuven|0540-024|53|5,5,τοῖς,ὁ,l-p---nd-,ATR
Leuven|0540-024|53|6,6,χρήμασιν,χρῆμα,n-p---nd-,ADV
Leuven|0540-024|53|7,7,ἐξωνοῦνται,ἐξωνέομαι,v3ppie---,PRED_CO
Leuven|0540-024|53|8,8,τοὺς,ὁ,l-p---ma-,ATR
Leuven|0540-024|53|9,9,κινδύνους,κίνδυνος,n-p---ma-,OBJ
Leuven|0540-024|53|10,10,",",",",u--------,AuxX
Leuven|0540-024|53|11,11,οἱ,ὁ,l-p---mn-,ATR
Leuven|0540-024|53|12,12,δὲ,δέ,b--------,COORD
Leuven|0540-024|53|13,13,πένητες,πένης,n-p---mn-,SBJ
Leuven|0540-024|53|14,14,ὑπὸ,ὑπό,r--------,AuxP
Leuven|0540-024|53|15,15,τῆς,ὁ,l-s---fg-,ATR
Leuven|0540-024|53|16,16,παρούσης,πάρειμι,v-sppafg-,ATR
Leuven|0540-024|53|17,17,ἀπορίας,ἀπορία,n-s---fg-,OBJ
Leuven|0540-024|53|18,18,σωφρονεῖν,σωφρονέω,v--pna---,OBJ
Leuven|0540-024|53|19,19,ἀναγκάζονται,ἀναγκάζω,v3ppie---,PRED_CO
Leuven|0540-024|53|20,20,·,·,u--------,AuxK
