@ref,@id,@form,@lemma,@postag,@relation
Leuven|27679|18|1,1,προτρέπομαί,προσρέπω,v1spie---,PRED
Leuven|27679|18|2,2,σε,σύ,p2s---ca-,SBJ
Leuven|27679|18|3,3,δὲ,δέ,b--------,AuxY
Leuven|27679|18|4,4,ἀναβῆναι,ἀναβαίνω,v--ana---,OBJ_CO
Leuven|27679|18|5,5,εἰς,εἰς,r--------,AuxP
Leuven|27679|18|6,6,τὴν,ὁ,l-s---fa-,ATR
Leuven|27679|18|7,7,ἑβδομηκοστὴν,ἑβδομηκοστός,a-s---fa-,ADV
Leuven|27679|18|8,8,τοῦ,ὁ,l-s---mg-,ATR
Leuven|27679|18|9,9,θεοῦ,θεός,n-s---mg-,ATR
Leuven|27679|18|10,10,",",",",u--------,COORD
Leuven|27679|18|11,11,ἀναβῆναι,ἀναβαίνω,v--ana---,OBJ_CO
Leuven|27679|18|12,12,παρʼ,παρά,r--------,AuxP
Leuven|27679|18|13,13,ἐμὲ,ἐγώ,p1s---ca-,OBJ
Leuven|27679|18|14,14,ὡς,ὡς,c--------,AuxC
Leuven|27679|18|15,15,εἰς,εἰς,r--------,AuxP
Leuven|27679|18|16,16,τὰ,ὁ,l-p---na-,ATR
Leuven|27679|18|17,17,ἴδια,ἴδιος,a-p---na-,OBJ
Leuven|27679|18|18,18,.,.,u--------,AuxK
Leuven|27679|18|19,19,[0],_,---------,ADV
