@ref,@id,@form,@lemma,@postag,@relation
Leuven|0585-001|170|1,1,προφρονέως,πρόφρων,d--------,ADV
Leuven|0585-001|170|2,2,δ’,δέ,d--------,AuxY
Leuven|0585-001|170|3,3,ὅτι,ὅτι,c--------,AuxC
Leuven|0585-001|170|4,4,κάλλιστον,καλός,a-s---nns,PNOM_CO
Leuven|0585-001|170|5,5,καὶ,καί,c--------,COORD
Leuven|0585-001|170|6,6,εὐκτὸν,εὐκτός,a-s---nn-,PNOM_CO
Leuven|0585-001|170|7,7,ἐπ’,ἐπί,r--------,AuxP
Leuven|0585-001|170|8,8,αἶαν,αἶα,n-s---fa-,ADV
Leuven|0585-001|170|9,9,ὡς,ὡς,c--------,AuxC
Leuven|0585-001|170|10,10,θνητοῖσιν,θνητός,a-p---md-,OBJ
Leuven|0585-001|170|11,11,ἰδέσθαι,ὁράω,v--anm---,SBJ
Leuven|0585-001|170|12,12,ἐπέπλετο,ἐπιπέλομαι,v3siie---,SBJ
Leuven|0585-001|170|13,13,",",",",u--------,AuxX
Leuven|0585-001|170|14,14,καὶ,καί,c--------,COORD
Leuven|0585-001|170|15,15,τὸ,ὁ,l-s---nn-,ATR
Leuven|0585-001|170|16,16,φέρεσθαι,φέρω,v--pne---,SBJ_CO
Leuven|0585-001|170|17,17,ἱστῷ,ἱστός,n-s---md-,ADV
Leuven|0585-001|170|18,18,σύμμικτον,σύμμικτος,a-s---na-,ATR
Leuven|0585-001|170|19,19,δῶρον,δῶρον,n-s---na-,SBJ
Leuven|0585-001|170|20,20,βασιληίδι,βασιληίς,a-s---fd-,ATR
Leuven|0585-001|170|21,21,κούρῃ,κόρη,n-s---fd-,OBJ
Leuven|0585-001|170|22,22,.,.,u--------,AuxK
Leuven|0585-001|170|23,23,[0],,,PRED
Leuven|0585-001|170|24,24,[1],,,OBJ
