@ref,@id,@form,@lemma,@postag,@relation
Leuven|4029-001|1125|1,1,καὶ,καί,c--------,AuxY
Leuven|4029-001|1125|2,2,τοῖς,ὁ,l-p---md-,ATR
Leuven|4029-001|1125|3,3,μὲν,μέν,d--------,AuxY
Leuven|4029-001|1125|4,4,ἄλλοις,ἄλλος,p-p---md-,ADV
Leuven|4029-001|1125|5,5,ἅπασιν,ἅπας,a-p---md-,ATR
Leuven|4029-001|1125|6,6,ἔντιμός,ἔντιμος,a-s---mn-,PNOM_CO
Leuven|4029-001|1125|7,7,τε,τε,c--------,AuxY
Leuven|4029-001|1125|8,8,καὶ,καί,c--------,COORD
Leuven|4029-001|1125|9,9,λόγου,λόγος,n-s---mg-,OBJ
Leuven|4029-001|1125|10,10,πολλοῦ,πολύς,a-s---mg-,ATR
Leuven|4029-001|1125|11,11,ἄξιος,ἄξιος,a-s---mn-,PNOM_CO
Leuven|4029-001|1125|12,12,",",",",u--------,AuxX
Leuven|4029-001|1125|13,13,ὡς,ὡς,c--------,AuxC
Leuven|4029-001|1125|14,14,τὸ,ὁ,l-s---nn-,ATR
Leuven|4029-001|1125|15,15,εἰκὸς,εἰκός,v-srpann-,ADV
Leuven|4029-001|1125|16,16,",",",",u--------,AuxX
Leuven|4029-001|1125|17,17,ἦν,εἰμί,v3siia---,PRED_CO
Leuven|4029-001|1125|18,18,",",",",u--------,AuxX
Leuven|4029-001|1125|19,19,μόνος,μόνος,a-s---mn-,ADV
Leuven|4029-001|1125|20,20,δὲ,δέ,d--------,AuxY
Leuven|4029-001|1125|21,21,Ἰωάννης,Ἰωάννης,n-s---mn-,SBJ
Leuven|4029-001|1125|22,22,αὐτῷ,αὐτός,p-s---md-,OBJ
Leuven|4029-001|1125|23,23,χαλεπῶς,χαλεπός,d--------,ADV
Leuven|4029-001|1125|24,24,εἶχε,ἔχω,v3siia---,PRED_CO
Leuven|4029-001|1125|25,25,καὶ,καί,c--------,COORD
Leuven|4029-001|1125|26,26,πολλῇ,πολύς,a-s---fd-,ATR
Leuven|4029-001|1125|27,27,ἐπιβουλῇ,ἐπιβουλή,n-s---fd-,ADV
Leuven|4029-001|1125|28,28,ἐς,εἰς,r--------,AuxP
Leuven|4029-001|1125|29,29,αὐτὸν,αὐτός,p-s---ma-,OBJ
Leuven|4029-001|1125|30,30,εἴχετο,ἔχω,v3siie---,PRED_CO
Leuven|4029-001|1125|31,31,",",",",u--------,AuxX
Leuven|4029-001|1125|32,32,κατ’,κατά,r--------,AuxP
Leuven|4029-001|1125|33,33,ἄλλο,ἄλλος,p-s---na-,ADV
Leuven|4029-001|1125|34,34,μὲν,μέν,d--------,AuxY
Leuven|4029-001|1125|35,35,οὐδὲν,οὐδείς,p-s---na-,ATR
Leuven|4029-001|1125|36,36,",",",",u--------,AuxX
Leuven|4029-001|1125|37,37,ὅτι,ὅτι,c--------,AuxC
Leuven|4029-001|1125|38,38,δὲ,δέ,d--------,AuxY
Leuven|4029-001|1125|39,39,αὐτὸς,αὐτός,p-s---mn-,SBJ
Leuven|4029-001|1125|40,40,μὲν,μέν,d--------,AuxY
Leuven|4029-001|1125|41,41,τὸ,ὁ,l-s---na-,ATR
Leuven|4029-001|1125|42,42,ἐκ,ἐκ,r--------,AuxP
Leuven|4029-001|1125|43,43,πάντων,πᾶς,a-p---mg-,ATR
Leuven|4029-001|1125|44,44,ἔχθος,ἔχθος,n-s---na-,OBJ
Leuven|4029-001|1125|45,45,ἐφ’,ἐπί,r--------,AuxP
Leuven|4029-001|1125|46,46,ἑαυτὸν,ἑαυτοῦ,p-s---ma-,ADV
Leuven|4029-001|1125|47,47,εἷλκε,ἕλκω,v3siia---,ADV_CO
Leuven|4029-001|1125|48,48,",",",",u--------,AuxX
Leuven|4029-001|1125|49,49,Βελισάριος,Βελισάριος,n-s---mn-,SBJ
Leuven|4029-001|1125|50,50,δὲ,δέ,d--------,COORD
Leuven|4029-001|1125|51,51,πάντων,πᾶς,a-p---mg-,ATR
Leuven|4029-001|1125|52,52,εὐδοκιμῶν,εὐδοκιμέω,v-sppamn-,OBJ
Leuven|4029-001|1125|53,53,μάλιστα,μάλα,d-------s,ADV
Leuven|4029-001|1125|54,54,ἔτυχεν,τυγχάνω,v3saia---,ADV_CO
Leuven|4029-001|1125|55,55,·,·,u--------,AuxK
