@ref,@id,@form,@lemma,@postag,@relation
Leuven|Ps-Luc|482|1,1,κατακλείσας,κατακλείω,v-sapamn-,ADV
Leuven|Ps-Luc|482|2,2,γάρ,γάρ,d--------,AuxY
Leuven|Ps-Luc|482|3,3,με,ἐγώ,p1s---ca-,OBJ
Leuven|Ps-Luc|482|4,4,ἔνδον,ἔνδον,d--------,ADV
Leuven|Ps-Luc|482|5,5,εἶχεν,ἔχω,v3siia---,PRED_CO
Leuven|Ps-Luc|482|6,6,ἑστῶτα,ἵστημι,v-srpama-,ADV
Leuven|Ps-Luc|482|7,7,",",",",u--------,AuxX
Leuven|Ps-Luc|482|8,8,καὶ,καί,b--------,COORD
Leuven|Ps-Luc|482|9,9,τοῖς,ὁ,l-p---md-,ATR
Leuven|Ps-Luc|482|10,10,βουλομένοις,βούλομαι,v-pppemd-,ADV
Leuven|Ps-Luc|482|11,11,ἰδεῖν,ὁράω,v--ana---,OBJ
Leuven|Ps-Luc|482|12,12,ἐμὲ,ἐγώ,p1s---ca-,OBJ_CO
Leuven|Ps-Luc|482|13,13,καὶ,καί,b--------,COORD
Leuven|Ps-Luc|482|14,14,τ-,ὁ,l-p---na-,ATR
Leuven|Ps-Luc|482|15,15,ἐμὰ,ἐμός,a-p---na-,ATR
Leuven|Ps-Luc|482|16,16,παράδοξα,παράδοξος,a-p---na-,ATR
Leuven|Ps-Luc|482|17,17,ἔργα,ἔργον,n-p---na-,OBJ_CO
Leuven|Ps-Luc|482|18,18,μισθοῦ,μισθός,n-s---mg-,ADV
Leuven|Ps-Luc|482|19,19,τὴν,ὁ,l-s---fa-,ATR
Leuven|Ps-Luc|482|20,20,θύραν,θύρα,n-s---fa-,OBJ
Leuven|Ps-Luc|482|21,21,ἤνοιγεν,ἀνοίγνυμι,v3siia---,PRED_CO
Leuven|Ps-Luc|482|22,22,.,.,u--------,AuxK
