@ref,@id,@form,@lemma,@postag,@relation
Leuven|0059-00x|30|1,1,τούτων,οὗτος,p-p---mg-,ATR
Leuven|0059-00x|30|2,2,γὰρ,γάρ,d--------,AuxY
Leuven|0059-00x|30|3,3,τοὺς,ὁ,l-p---ma-,ATR
Leuven|0059-00x|30|4,4,τὶ,τίς,p-s---na-,PNOM
Leuven|0059-00x|30|5,5,μάλιστα,μάλα,d-------s,ADV
Leuven|0059-00x|30|6,6,εἶναι,εἰμί,v--pna---,OBJ
Leuven|0059-00x|30|7,7,δοξαζομένους,δοξάζω,v-pppema-,OBJ
Leuven|0059-00x|30|8,8,ὑπὸ,ὑπό,r--------,AuxP
Leuven|0059-00x|30|9,9,σοῦ,σύ,p2s---cg-,OBJ
Leuven|0059-00x|30|10,10,πρώτους,πρῶτος,a-p---ma-,ADV
Leuven|0059-00x|30|11,11,ἐπανηρώτων,ἐπανερωτάω,v1siia---,PRED_CO
Leuven|0059-00x|30|12,12,",",",",u--------,AuxX
Leuven|0059-00x|30|13,13,πυνθανόμενος,πυνθάνομαι,v-sppemn-,ADV
Leuven|0059-00x|30|14,14,τίς,τίς,p-s---cn-,SBJ
Leuven|0059-00x|30|15,15,ὁ,ὁ,l-s---mn-,ATR
Leuven|0059-00x|30|16,16,μετὰ,μετά,r--------,AuxP
Leuven|0059-00x|30|17,17,ταῦτ’,οὗτος,p-p---na-,ATR
Leuven|0059-00x|30|18,18,εἴη,εἰμί,v3siia---,OBJ
Leuven|0059-00x|30|19,19,λόγος,λόγος,n-s---mn-,PNOM
Leuven|0059-00x|30|20,20,",",",",u--------,AuxX
Leuven|0059-00x|30|21,21,καὶ,καί,b--------,COORD
Leuven|0059-00x|30|22,22,κατὰ,κατά,r--------,AuxP
Leuven|0059-00x|30|23,23,σὲ,σύ,p2s---ca-,ADV
Leuven|0059-00x|30|24,24,τρόπον,τρόπος,n-s---ma-,OBJ
Leuven|0059-00x|30|25,25,τινὰ,τις,p-s---ca-,ATR
Leuven|0059-00x|30|26,26,ὑποτείνων,ὑποτείνω,v-sppamn-,ADV
Leuven|0059-00x|30|27,27,αὐτοῖς,αὐτός,p-p---md-,OBJ
Leuven|0059-00x|30|28,28,",",",",u--------,AuxX
Leuven|0059-00x|30|29,29,ὦ,ὦ,i--------,AuxZ
Leuven|0059-00x|30|30,30,βέλτιστοι,βέλτιστος,a-p---mvs,ATR
Leuven|0059-00x|30|31,31,",",",",u--------,AuxX
Leuven|0059-00x|30|32,32,ἔφην,φημί,v1siia---,PRED_CO
Leuven|0059-00x|30|33,33,",",",",u--------,AuxX
Leuven|0059-00x|30|34,34,ὑμεῖς,σύ,p2p---cn-,ExD
Leuven|0059-00x|30|35,35,",",",",u--------,AuxX
Leuven|0059-00x|30|36,36,πῶς,πῶς,d--------,ADV
Leuven|0059-00x|30|37,37,ποτε,ποτέ,d--------,ADV
Leuven|0059-00x|30|38,38,νῦν,νῦν,d--------,ADV
Leuven|0059-00x|30|39,39,ἀποδεχόμεθα,ἀποδέχομαι,v1ppie---,OBJ
Leuven|0059-00x|30|40,40,τὴν,ὁ,l-s---fa-,ATR
Leuven|0059-00x|30|41,41,Σωκράτους,Σωκράτης,n-s---mg-,ATR
Leuven|0059-00x|30|42,42,προτροπὴν,προτροπή,n-s---fa-,OBJ
Leuven|0059-00x|30|43,43,ἡμῶν,ἐγώ,p1p---cg-,ATR
Leuven|0059-00x|30|44,44,ἐπ’,ἐπί,r--------,AuxP
Leuven|0059-00x|30|45,45,ἀρετήν,ἀρετή,n-s---fa-,ATR
Leuven|0059-00x|30|46,46,;,;,u--------,AuxK
