@ref,@id,@form,@lemma,@postag,@relation
Leuven|0544-002|325|1,1,τὸ,ὁ,l-s---nn-,ATR
Leuven|0544-002|325|2,2,γὰρ,γάρ,d--------,AuxY
Leuven|0544-002|325|3,3,στοιχεῖον,στοιχεῖον,n-s---nn-,SBJ
Leuven|0544-002|325|4,4,κριτέον,κριτέος,a-s---nn-,PNOM
Leuven|0544-002|325|5,5,μάλιστα,μάλα,d-------s,ADV
Leuven|0544-002|325|6,6,",",",",u--------,AuxX
Leuven|0544-002|325|7,7,ὅτι,ὅτι,c--------,AuxC
Leuven|0544-002|325|8,8,στοιχεῖόν,στοιχεῖον,n-s---nn-,PNOM
Leuven|0544-002|325|9,9,ἐστιν,εἰμί,v3spia---,OBJ
Leuven|0544-002|325|10,10,",",",",u--------,AuxX
Leuven|0544-002|325|11,11,ἐκ,ἐκ,r--------,AuxP
Leuven|0544-002|325|12,12,τοῦ,ὁ,l-s---ng-,ATR
Leuven|0544-002|325|13,13,ἀσύνθετον,ἀσύνθετος,a-s---ma-,ATR_CO
Leuven|0544-002|325|14,14,καὶ,καί,c--------,COORD
Leuven|0544-002|325|15,15,μονόποιον,μονόποιος,a-s---ma-,ATR_CO
Leuven|0544-002|325|16,16,ἔχειν,ἔχω,v--pna---,ADV
Leuven|0544-002|325|17,17,φθόγγον,φθόγγος,n-s---ma-,OBJ
Leuven|0544-002|325|18,18,",",",",u--------,AuxX
Leuven|0544-002|325|19,19,οἷός,οἷος,p-s---mn-,PNOM
Leuven|0544-002|325|20,20,ἐστιν,εἰμί,v3spia---,ATR
Leuven|0544-002|325|21,21,ὁ,ὁ,l-s---mn-,SBJ
Leuven|0544-002|325|22,22,τοῦ,ὁ,l-s---ng-,ATR
Leuven|0544-002|325|23,23,α,α,b--------,ATR_CO
Leuven|0544-002|325|24,24,καὶ,καί,c--------,AuxY
Leuven|0544-002|325|25,25,ε,ε,b--------,ATR_CO
Leuven|0544-002|325|26,26,καὶ,καί,c--------,AuxY
Leuven|0544-002|325|27,27,ο,ο,b--------,ATR_CO
Leuven|0544-002|325|28,28,καὶ,καί,c--------,COORD
Leuven|0544-002|325|29,29,τῶν,ὁ,l-p---ng-,ATR
Leuven|0544-002|325|30,30,λοιπῶν,λοιπός,a-p---ng-,ATR_CO
Leuven|0544-002|325|31,31,.,.,u--------,AuxK
Leuven|0544-002|325|32,32,[0],,,PRED
