@ref,@id,@form,@lemma,@postag,@relation
Leuven|0093-009|398|1,1,καὶ,καί,c--------,AuxY
Leuven|0093-009|398|2,2,τελούμενος,τελέω,v-sppemn-,ADV
Leuven|0093-009|398|3,3,τῷ,ὁ,l-s---md-,ATR
Leuven|0093-009|398|4,4,Σαβαζίῳ,Σαβάζιος,n-s---md-,OBJ
Leuven|0093-009|398|5,5,σπεῦσαι,σπεύδω,v--ana---,OBJ
Leuven|0093-009|398|6,6,",",",",u--------,AuxX
Leuven|0093-009|398|7,7,ὅπως,ὅπως,c--------,AuxC
Leuven|0093-009|398|8,8,καλλιστεύσῃ,καλλιστεύω,v3sasa---,OBJ
Leuven|0093-009|398|9,9,παρὰ,παρά,r--------,AuxP
Leuven|0093-009|398|10,10,τῷ,ὁ,l-s---md-,ATR
Leuven|0093-009|398|11,11,ἱερεῖ,ἱερεύς,n-s---md-,ADV
Leuven|0093-009|398|12,12,.,.,u--------,AuxK
Leuven|0093-009|398|13,13,[0],,,PRED
